-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.631s       153.98%        1.631s     166.740us          9779  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     662.075ms        62.52%     662.075ms     662.075ms             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     589.541ms        55.67%     589.541ms      83.742us          7040  
                                       vllm::all_reduce         0.00%     209.620us         0.07%       4.553ms      82.775us     178.928ms        16.90%     178.928ms       3.253ms            55  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     117.816ms        11.13%     117.816ms      17.701us          6656  
                                     _fwd_kernel_stage2         0.00%       0.000us         0.00%       0.000us       0.000us      70.501ms         6.66%      70.501ms      79.303us           889  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      33.808ms         3.19%      33.808ms      11.570us          2922  
                               vllm::moe_forward_shared         0.00%     128.120us         6.61%     431.774ms      16.607ms      33.233ms         3.14%      44.322ms       1.705ms            26  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      28.759ms         2.72%      28.759ms       3.774us          7620  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      26.962ms         2.55%      26.962ms       3.931us          6858  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      25.023ms         2.36%      25.023ms       3.718us          6731  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      22.591ms         2.13%      22.591ms       3.867us          5842  
                                               aten::mm         0.07%       4.734ms         0.12%       7.644ms      22.749us      21.219ms         2.00%      21.252ms      63.251us           336  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      18.084ms         1.71%      18.084ms       2.666us          6784  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.718ms         1.20%      12.718ms       3.852us          3302  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      11.135ms         1.05%      11.135ms       3.346us          3328  
                             _fwd_grouped_kernel_stage1         0.00%       0.000us         0.00%       0.000us       0.000us      10.920ms         1.03%      10.920ms      12.283us           889  
