-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.630s       154.37%        1.630s     166.723us          9779  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     662.138ms        62.69%     662.138ms     662.138ms             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     583.641ms        55.26%     583.641ms      82.904us          7040  
                                       vllm::all_reduce         0.00%     228.520us         0.05%       4.128ms      75.056us     175.632ms        16.63%     175.632ms       3.193ms            55  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     117.828ms        11.16%     117.828ms      17.703us          6656  
                                     _fwd_kernel_stage2         0.00%       0.000us         0.00%       0.000us       0.000us      72.978ms         6.91%      72.978ms      82.090us           889  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      33.721ms         3.19%      33.721ms      11.540us          2922  
                               vllm::moe_forward_shared         0.00%     118.340us         5.24%     434.870ms      16.726ms      33.245ms         3.15%      44.318ms       1.705ms            26  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      28.895ms         2.74%      28.895ms       3.792us          7620  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      26.992ms         2.56%      26.992ms       3.936us          6858  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      25.393ms         2.40%      25.393ms       3.773us          6731  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      22.670ms         2.15%      22.670ms       3.881us          5842  
                                               aten::mm         0.06%       4.810ms         0.09%       7.561ms      22.502us      21.240ms         2.01%      21.274ms      63.314us           336  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      18.038ms         1.71%      18.038ms       2.659us          6784  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.782ms         1.21%      12.782ms       3.871us          3302  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      11.132ms         1.05%      11.132ms       3.345us          3328  
                             _fwd_grouped_kernel_stage1         0.00%       0.000us         0.00%       0.000us       0.000us      10.960ms         1.04%      10.960ms      12.329us           889  
