-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.630s       153.33%        1.630s     166.638us          9779  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     662.138ms        62.30%     662.138ms     662.138ms             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     595.692ms        56.05%     595.692ms      84.615us          7040  
                                       vllm::all_reduce         0.00%     211.540us         0.05%       4.530ms      82.364us     182.030ms        17.13%     182.030ms       3.310ms            55  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     117.180ms        11.03%     117.180ms      17.605us          6656  
                                     _fwd_kernel_stage2         0.00%       0.000us         0.00%       0.000us       0.000us      69.725ms         6.56%      69.725ms      78.431us           889  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      33.674ms         3.17%      33.674ms      11.524us          2922  
                               vllm::moe_forward_shared         0.00%     114.690us         5.16%     429.212ms      16.508ms      33.102ms         3.11%      44.145ms       1.698ms            26  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      28.723ms         2.70%      28.723ms       3.769us          7620  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      26.655ms         2.51%      26.655ms       3.887us          6858  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      25.734ms         2.42%      25.734ms       3.823us          6731  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      22.477ms         2.12%      22.477ms       3.848us          5842  
                                               aten::mm         0.06%       4.864ms         0.09%       7.190ms      21.400us      21.150ms         1.99%      21.184ms      63.047us           336  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      17.906ms         1.68%      17.906ms       2.639us          6784  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.701ms         1.20%      12.701ms       3.847us          3302  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      11.124ms         1.05%      11.124ms       3.342us          3328  
                             _fwd_grouped_kernel_stage1         0.00%       0.000us         0.00%       0.000us       0.000us      10.930ms         1.03%      10.930ms      12.295us           889  
