-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::add         0.00%     272.290us         0.01%     785.680us      25.345us       1.404ms         0.13%       1.404ms      45.293us            31  
                                            aten::index         0.05%       4.012ms         0.08%       6.685ms      17.410us       1.393ms         0.13%       1.393ms       3.628us           384  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.376ms         0.13%       1.376ms       0.762us          1805  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.161ms         0.11%       1.161ms       1.435us           809  
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm...         0.00%       0.000us         0.00%       0.000us       0.000us       1.082ms         0.10%       1.082ms      41.616us            26  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     988.736us         0.09%     988.736us      38.028us            26  
              chunk_kda_fwd_kernel_intra_token_parallel         0.00%       0.000us         0.00%       0.000us       0.000us     806.754us         0.08%     806.754us      40.338us            20  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     800.386us         0.08%     800.386us     114.341us             7  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     769.887us         0.07%     769.887us       6.015us           128  
                           _moe_C::moe_align_block_size         0.00%     248.490us         0.01%     587.920us      22.612us     748.097us         0.07%     748.097us      28.773us            26  
                 chunk_kda_fwd_kernel_inter_solve_fused         0.00%       0.000us         0.00%       0.000us       0.000us     622.082us         0.06%     622.082us      31.104us            20  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     583.488us         0.05%     583.488us       9.725us            60  
                                   _moe_C::grouped_topk         0.01%     558.710us         0.04%       3.157ms      98.665us     498.595us         0.05%     498.595us      15.581us            32  
void vllm::moe::single_group_topk::detail::single_gr...         0.00%       0.000us         0.00%       0.000us       0.000us     498.595us         0.05%     498.595us      19.177us            26  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     477.278us         0.04%     477.278us      23.864us            20  
                               recompute_w_u_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     437.025us         0.04%     437.025us      21.851us            20  
void vllm::moe::moe_align_block_size_kernel<int>(int...         0.00%       0.000us         0.00%       0.000us       0.000us     429.634us         0.04%     429.634us      16.524us            26  
                                            aten::fill_         0.03%       2.748ms         0.06%       5.267ms       3.655us     416.105us         0.04%     417.001us       0.289us          1441  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     412.829us         0.04%     412.829us       3.225us           128  
                                           aten::argmax         0.01%       1.162ms         0.02%       1.589ms      12.413us     390.079us         0.04%     390.079us       3.047us           128  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     390.079us         0.04%     390.079us       3.047us           128  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     382.751us         0.04%     382.751us       2.990us           128  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     355.205us         0.03%     355.205us       2.775us           128  
                                           _C::rms_norm         0.01%     785.950us         0.02%       1.293ms       9.509us     337.178us         0.03%     337.178us       2.479us           136  
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     318.463us         0.03%     318.463us      12.249us            26  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     313.081us         0.03%     313.081us       2.446us           128  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     310.048us         0.03%     310.048us       2.422us           128  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     304.802us         0.03%     304.802us       2.381us           128  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     290.592us         0.03%     290.592us       2.270us           128  
                                 chunk_gla_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us     264.991us         0.02%     264.991us      13.250us            20  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     247.557us         0.02%     247.557us       0.900us           275  
                    kda_gate_chunk_cumsum_vector_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     232.065us         0.02%     232.065us      11.603us            20  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     228.865us         0.02%     228.865us      32.695us             7  
                                           aten::gather         0.02%       1.301ms         0.02%       1.810ms      14.142us     214.690us         0.02%     214.690us       1.677us           128  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     214.690us         0.02%     214.690us       1.677us           128  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     210.687us         0.02%     210.687us      10.534us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     193.861us         0.02%     193.861us       0.757us           256  
void vllm::vocab_embedding::vocab_parallel_embedding...         0.00%       0.000us         0.00%       0.000us       0.000us     170.751us         0.02%     170.751us       1.334us           128  
                                     l2norm_fwd_kernel2         0.00%       0.000us         0.00%       0.000us       0.000us     144.768us         0.01%     144.768us       3.619us            40  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     141.409us         0.01%     141.409us       1.105us           128  
                           _scatter_num_accepted_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     129.311us         0.01%     129.311us       1.010us           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     112.514us         0.01%     112.514us       0.879us           128  
                                 aten::_index_put_impl_         0.00%     265.440us         0.01%     696.870us      34.843us     111.519us         0.01%     139.009us       6.950us            20  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     111.519us         0.01%     111.519us       5.576us            20  
                                           aten::arange         0.01%     943.400us         0.04%       3.693ms      14.204us     104.350us         0.01%     208.700us       0.803us           260  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     104.350us         0.01%     104.350us       0.815us           128  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     101.920us         0.01%     101.920us       7.280us            14  
                               cudaEventRecordWithFlags         0.01%     593.890us         0.01%     593.890us       0.755us      96.479us         0.01%      96.479us       0.123us           787  
                                  cudaStreamIsCapturing         0.00%     322.350us         0.00%     322.350us       0.220us      93.599us         0.01%      93.599us       0.064us          1462  
                          _gather_initial_states_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      68.703us         0.01%      68.703us       3.435us            20  
       _C::fused_kimi_k3_mla_key_concat_kv_cache_insert         0.00%      38.240us         0.00%      75.450us      10.779us      68.063us         0.01%      68.063us       9.723us             7  
void vllm::kimi_k3_fused_ops::fusedKimiK3MLAKeyConca...         0.00%       0.000us         0.00%       0.000us       0.000us      68.063us         0.01%      68.063us       9.723us             7  
