
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp4_pp4_dist/prefill_128k/node0_capture/worker_process_1534720.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp4_pp4_dist/prefill_128k/node0_capture/worker_process_1534720.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp4_pp4_dist/prefill_128k/node0_capture/worker_process_1534720.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
45.7,1314785377,5680,231476.3,85640.0,2060,83089619,3359819.5,cudaMemcpyAsync
27.5,791676842,40,19791921.1,87700.0,40590,651971403,103890903.7,cuModuleLoadData
5.2,149805378,4836,30977.1,17480.0,3230,54062790,778386.9,cudaStreamSynchronize
4.2,119921359,116,1033804.8,308665.0,53720,11501640,1774875.7,cuMemSetAccess
4.0,115697508,24,4820729.5,4444185.0,729890,12211790,2838632.2,cuMemExportToShareableHandle
2.5,72870720,34,2143256.5,1833475.0,60910,6933740,1661786.1,cuLibraryLoadData
1.8,52018229,3109,16731.5,4260.0,2740,15168569,294211.3,cudaLaunchKernel
1.3,36756869,218,168609.5,3465.0,1760,7694870,860939.6,cudaHostAlloc
1.2,34792260,24,1449677.5,956950.0,49810,6953040,1487703.9,cuMemImportFromShareableHandle
1.2,34256130,96,356834.7,171435.0,3290,5906580,775421.5,cudaMalloc
1.1,32971970,78,422717.6,165290.0,10200,2520970,564988.5,cuMemCreate
0.9,26930609,2590,10397.9,4070.0,2850,7773350,203869.8,cuLaunchKernelEx
0.9,26734190,2,13367095.0,13367095.0,51260,26682930,18831434.5,cudaDeviceSynchronize
0.4,10526059,128,82234.8,1280.0,880,962370,161796.8,cudaStreamCreateWithPriority
0.3,9485690,100,94856.9,44855.0,1340,1038770,184369.5,cuMemMap
0.3,7604940,265,28697.9,5810.0,3140,3186110,235514.8,cudaLaunchKernelExC_v11060
0.3,7411700,30,247056.7,140015.0,1740,1500630,344266.4,cudaFree
0.2,5075560,1103,4601.6,350.0,210,1563150,66863.0,cuKernelGetFunction
0.2,4748120,1103,4304.7,3900.0,2680,38770,2285.9,cuLaunchKernel
0.1,3367380,2615,1287.7,690.0,350,42540,1701.7,cudaEventQuery
0.1,3013350,16,188334.4,12640.0,3620,1493140,415321.3,cudaStreamCreateWithFlags
0.1,2758030,6282,439.0,350.0,160,275640,3516.8,cudaStreamIsCapturing_v10000
0.1,1720940,106,16235.3,270.0,90,441750,72335.9,cuMemGetAllocationGranularity
0.1,1575350,1287,1224.0,940.0,400,20200,1090.9,cudaStreamWaitEvent
0.1,1553490,1161,1338.1,670.0,330,39370,1928.9,cudaEventRecord
0.0,1308830,2,654415.0,654415.0,74170,1234660,820590.3,cuMemRelease
0.0,937190,90,10413.2,5615.0,1850,93590,15829.5,cudaMemsetAsync
0.0,807330,566,1426.4,205.0,130,342310,17901.2,cudaThreadExchangeStreamCaptureMode_v10010
0.0,764380,100,7643.8,3175.0,700,206320,22228.1,cuMemAddressReserve
0.0,686040,3109,220.7,130.0,80,7620,392.9,cuKernelGetName
0.0,678800,501,1354.9,790.0,330,153470,6941.6,cudaGetFuncBySymbol_v11000
0.0,638940,648,986.0,770.0,350,14540,1047.0,cudaEventRecordWithFlags_v11010
0.0,628180,1073,585.4,400.0,160,7010,668.2,cudaStreamGetCaptureInfo_v12030
0.0,625010,2318,269.6,220.0,70,25640,612.1,cuGetProcAddress_v2
0.0,514950,5,102990.0,56570.0,49510,194810,68260.0,cudaMemPoolCreate_v11020
0.0,177700,205,866.8,490.0,190,11400,1147.5,cudaEventCreateWithFlags
0.0,163500,71,2302.8,1260.0,280,14340,2623.1,cuLibraryGetKernel
0.0,118080,100,1180.8,670.0,250,16950,2191.9,cudaEventDestroy
0.0,87730,3,29243.3,29530.0,20580,37620,8523.6,cudaMemGetInfo
0.0,47400,1,47400.0,47400.0,47400,47400,0.0,cudaProfilerStart
0.0,38770,93,416.9,180.0,140,8700,931.8,cudaGetDriverEntryPointByVersion_v12050
0.0,33620,4,8405.0,7350.0,4580,14340,4672.5,cudaStreamDestroy
0.0,13770,22,625.9,260.0,80,4250,938.4,cudaGetDeviceProperties_v12000
0.0,11230,5,2246.0,2230.0,1950,2610,239.2,cudaMemPoolSetAttribute_v11020
0.0,9630,7,1375.7,1160.0,370,3090,1025.2,cuInit
0.0,9310,5,1862.0,290.0,80,8480,3700.8,cuModuleGetLoadingMode

