size_bytes,payload_label,description,tp4_local_latency_ms,tp4_local_algbw_gbs,tp4_multi_native_175g_ms,tp4_multi_native_algbw_gbs,tp4_multi_100g_ms,tp4_multi_100g_algbw_gbs,tp4_multi_50g_ms,tp4_multi_50g_algbw_gbs,tp4_multi_20g_ms,tp4_multi_20g_algbw_gbs,tp4_multi_10g_ms,tp4_multi_10g_algbw_gbs,tp4_multi_native_vs_local,tp4_multi_10g_vs_local
16384,16.0 KiB,"Batch-1 Token Decode (16 KiB)",0.0114,1.43,0.1593,0.1,0.1081,0.15,0.327,0.05,0.0993,0.16,0.1016,0.16,13.97x,8.91x
32768,32.0 KiB,"32.0 KiB",0.0115,2.84,0.1345,0.24,0.1727,0.19,0.1686,0.19,0.1859,0.18,0.2203,0.15,11.70x,19.16x
65536,64.0 KiB,"64.0 KiB",0.0126,5.19,0.1336,0.49,0.174,0.38,0.1627,0.4,0.1564,0.42,0.1558,0.42,10.60x,12.37x
131072,128.0 KiB,"Small Activation (128 KiB)",0.0169,7.78,0.1839,0.71,0.1719,0.76,0.1722,0.76,0.1818,0.72,0.1875,0.7,10.88x,11.09x
262144,256.0 KiB,"256.0 KiB",0.0258,10.15,0.2493,1.05,0.256,1.02,0.247,1.06,0.2959,0.89,0.3154,0.83,9.66x,12.22x
524288,512.0 KiB,"512.0 KiB",0.0431,12.16,0.2663,1.97,0.2759,1.9,0.3038,1.73,0.322,1.63,0.3329,1.58,6.18x,7.72x
1048576,1.0 MiB,"1 MiB Tensor",0.0533,19.67,0.3796,2.76,0.3617,2.9,0.3875,2.71,0.4373,2.4,0.6625,1.58,7.12x,12.43x
2097152,2.0 MiB,"2.0 MiB",0.0811,25.85,0.5108,4.11,0.5703,3.68,0.5583,3.76,0.658,3.19,1.6347,1.28,6.30x,20.16x
4194304,4.0 MiB,"4.0 MiB",0.138,30.39,0.8403,4.99,0.9931,4.22,0.88,4.77,2.0923,2.0,4.3725,0.96,6.09x,31.68x
8388608,8.0 MiB,"8.0 MiB",0.2782,30.15,1.2805,6.55,2.9401,2.85,4.7012,1.78,2.6565,3.16,6.7005,1.25,4.60x,24.09x
16777216,16.0 MiB,"16 MiB Activation",0.5417,30.97,2.1541,7.79,3.0993,5.41,3.2255,5.2,5.3091,3.16,12.6546,1.33,3.98x,23.36x
33554432,32.0 MiB,"32.0 MiB",1.0668,31.45,3.9216,8.56,5.0994,6.58,5.1219,6.55,10.6687,3.15,23.9162,1.4,3.68x,22.42x
67108864,64.0 MiB,"64 MiB Chunk",2.1242,31.59,7.8871,8.51,10.345,6.49,9.8232,6.83,21.188,3.17,45.3771,1.48,3.71x,21.36x
134217728,128.0 MiB,"8K Prefill Chunk (128 MiB)",4.2405,31.65,15.4656,8.68,18.9883,7.07,19.295,6.96,42.3572,3.17,88.3565,1.52,3.65x,20.84x
268435456,256.0 MiB,"Large Prefill (256 MiB)",8.444,31.79,30.2175,8.88,37.2376,7.21,38.398,6.99,84.5648,3.17,174.414,1.54,3.58x,20.66x
