size_bytes,payload_label,description,tp8_local_latency_ms,tp8_local_algbw_gbs,tp8_multi_native_175g_ms,tp8_multi_native_algbw_gbs,tp8_multi_100g_ms,tp8_multi_100g_algbw_gbs,tp8_multi_50g_ms,tp8_multi_50g_algbw_gbs,tp8_multi_20g_ms,tp8_multi_20g_algbw_gbs,tp8_multi_10g_ms,tp8_multi_10g_algbw_gbs,tp8_multi_native_vs_local,tp8_multi_10g_vs_local
16384,16.0 KiB,"Batch-1 Token Decode (16 KiB)",0.0134,1.22,0.1835,0.09,0.2819,0.06,0.2639,0.06,0.2776,0.06,0.2871,0.06,13.69x,21.43x
32768,32.0 KiB,"32.0 KiB",0.0834,0.39,0.2363,0.14,0.2912,0.11,2.6498,0.01,0.3055,0.11,0.3006,0.11,2.83x,3.60x
65536,64.0 KiB,"64.0 KiB",0.0272,2.41,0.2334,0.28,0.3209,0.2,0.3164,0.21,0.3292,0.2,0.3396,0.19,8.58x,12.49x
131072,128.0 KiB,"Small Activation (128 KiB)",0.0462,2.83,0.2377,0.55,0.334,0.39,0.3255,0.4,0.3323,0.39,0.6049,0.22,5.15x,13.09x
262144,256.0 KiB,"256.0 KiB",0.0296,8.86,0.248,1.06,0.3783,0.69,0.3494,0.75,0.631,0.42,0.4204,0.62,8.38x,14.20x
524288,512.0 KiB,"512.0 KiB",0.0448,11.7,0.4474,1.17,0.5778,0.91,0.6191,0.85,0.6275,0.84,0.9275,0.57,9.99x,20.70x
1048576,1.0 MiB,"1 MiB Tensor",0.0758,13.84,1.4624,0.72,0.9779,1.07,1.2973,0.81,1.1048,0.95,2.5776,0.41,19.29x,34.01x
2097152,2.0 MiB,"2.0 MiB",0.1353,15.5,2.194,0.96,1.4969,1.4,2.2664,0.93,2.2186,0.95,6.8428,0.31,16.22x,50.58x
4194304,4.0 MiB,"4.0 MiB",0.2477,16.94,2.4441,1.72,2.7393,1.53,3.0014,1.4,7.6561,0.55,13.3685,0.31,9.87x,53.97x
8388608,8.0 MiB,"8.0 MiB",0.4625,18.14,2.9758,2.82,4.3659,1.92,4.9234,1.7,12.0614,0.7,25.1651,0.33,6.43x,54.41x
16777216,16.0 MiB,"16 MiB Activation",0.8534,19.66,6.884,2.44,8.2834,2.03,8.0723,2.08,25.2572,0.66,52.6711,0.32,8.07x,61.72x
33554432,32.0 MiB,"32.0 MiB",1.6938,19.81,11.521,2.91,15.6248,2.15,15.8255,2.12,52.0969,0.64,103.034,0.33,6.80x,60.83x
67108864,64.0 MiB,"64 MiB Chunk",3.3158,20.24,19.1772,3.5,27.6955,2.42,32.8847,2.04,102.401,0.66,191.65,0.35,5.78x,57.80x
134217728,128.0 MiB,"8K Prefill Chunk (128 MiB)",5.7845,23.2,33.6775,3.99,52.9419,2.54,74.1854,1.81,196.028,0.68,352.17,0.38,5.82x,60.88x
268435456,256.0 MiB,"Large Prefill (256 MiB)",11.0108,24.38,67.6383,3.97,103.767,2.59,113.471,2.37,327.064,0.82,621.112,0.43,6.14x,56.41x
