topology,local_baseline_type,collective,size_bytes,payload_label,description,local_latency_ms,local_algbw_gbs,multi_native_175g_ms,multi_native_algbw_gbs,multi_100g_ms,multi_100g_algbw_gbs,multi_50g_ms,multi_50g_algbw_gbs,multi_20g_ms,multi_20g_algbw_gbs,multi_10g_ms,multi_10g_algbw_gbs,multi_native_vs_local,multi_10g_vs_local
TP=8,Node-Local Dual-Socket,ReduceScatter,4194304,4 MiB,4 MiB,0.187,22.44,1.028,4.08,1.048,4.0,1.229,3.41,1.61,2.6,3.117,1.35,5.50x,16.67x
TP=8,Node-Local Dual-Socket,ReduceScatter,8388608,8 MiB,8 MiB,0.349,24.01,1.678,5.0,1.785,4.7,1.931,4.34,3.095,2.71,6.499,1.29,4.80x,18.60x
TP=8,Node-Local Dual-Socket,ReduceScatter,16777216,16 MiB,16 MiB Activation,0.641,26.18,2.534,6.62,3.302,5.08,3.808,4.41,6.193,2.71,12.282,1.37,3.95x,19.16x
TP=8,Node-Local Dual-Socket,ReduceScatter,33554432,32 MiB,32 MiB,1.247,26.91,4.77,7.03,4.771,7.03,11.3,2.97,12.281,2.73,24.614,1.36,3.83x,19.74x
TP=8,Node-Local Dual-Socket,ReduceScatter,67108864,64 MiB,64 MiB Chunk,2.484,27.02,8.079,8.31,9.574,7.01,13.07,5.13,24.64,2.72,49.124,1.37,3.25x,19.78x
TP=8,Node-Local Dual-Socket,ReduceScatter,134217728,128 MiB,8K Prefill Chunk (128 MiB),4.967,27.02,15.575,8.62,16.912,7.94,19.896,6.75,49.25,2.73,98.358,1.36,3.14x,19.80x
TP=8,Node-Local Dual-Socket,ReduceScatter,268435456,256 MiB,Large Prefill (256 MiB),9.934,27.02,28.447,9.44,29.457,9.11,40.581,6.61,98.488,2.73,196.736,1.36,2.86x,19.80x
TP=4,Socket-Local Single-NUMA,AllReduce,16384,16 KiB,Batch-1 Token Decode,0.016,1.01,0.167,0.1,0.155,0.11,0.162,0.1,0.161,0.1,0.166,0.1,10.31x,10.24x
TP=4,Socket-Local Single-NUMA,AllReduce,32768,32 KiB,32 KiB,0.017,1.95,0.173,0.19,0.173,0.19,0.175,0.19,0.207,0.16,0.175,0.19,10.32x,10.45x
TP=4,Socket-Local Single-NUMA,AllReduce,65536,64 KiB,64 KiB,0.018,3.63,0.184,0.36,0.178,0.37,0.187,0.35,0.201,0.33,0.178,0.37,10.20x,9.88x
TP=4,Socket-Local Single-NUMA,AllReduce,131072,128 KiB,Small Activation,0.027,4.92,0.192,0.68,0.189,0.69,0.224,0.59,0.227,0.58,0.331,0.4,7.23x,12.42x
TP=4,Socket-Local Single-NUMA,AllReduce,262144,256 KiB,256 KiB,0.044,5.95,0.34,0.77,0.308,0.85,0.329,0.8,0.382,0.69,0.661,0.4,7.72x,15.02x
TP=4,Socket-Local Single-NUMA,AllReduce,524288,512 KiB,512 KiB,0.079,6.65,0.318,1.65,0.296,1.77,0.264,1.99,0.396,1.33,0.662,0.79,4.03x,8.39x
TP=4,Socket-Local Single-NUMA,AllReduce,1048576,1 MiB,1 MiB Tensor,0.092,11.39,0.473,2.22,0.461,2.28,0.414,2.53,0.75,1.4,1.319,0.79,5.13x,14.33x
TP=4,Socket-Local Single-NUMA,AllReduce,2097152,2 MiB,2 MiB,0.153,13.69,0.551,3.8,0.552,3.8,0.539,3.89,1.337,1.57,2.636,0.8,3.60x,17.20x
