
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp8_pp2_dist/prefill_128k/node0_capture/worker_process_1049915.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp8_pp2_dist/prefill_128k/node0_capture/worker_process_1049915.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp8_pp2_dist/prefill_128k/node0_capture/worker_process_1049915.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.8,1935388884,11484,168529.2,39250.0,2120,125835498,3837930.6,cudaMemcpyAsync
21.7,778703750,40,19467593.8,100430.0,36020,249026097,59893989.1,cuModuleLoadData
6.7,241650406,10350,23347.9,17710.0,2210,50600570,498479.1,cudaStreamSynchronize
2.7,96839788,105,922283.7,394900.0,4090,10241299,1354318.0,cudaMalloc
2.3,82511369,2,41255684.5,41255684.5,44220,82467149,58281812.0,cudaDeviceSynchronize
2.2,80615249,9092,8866.6,4470.0,2690,15409919,173238.3,cudaLaunchKernel
2.0,72644590,34,2136605.6,1913730.0,65910,6540880,1590222.1,cuLibraryLoadData
1.5,53839459,8,6729932.4,7457825.0,1445470,10679000,3246956.6,cuMemExportToShareableHandle
1.4,51658439,64,807163.1,481910.0,47230,6364740,1133899.4,cuMemSetAccess
1.3,46492760,167,278399.8,3710.0,1850,16774910,1445694.9,cudaHostAlloc
0.8,28716460,4673,6145.2,4080.0,2660,5072260,82338.1,cuLaunchKernelEx
0.6,20095859,128,156998.9,1190.0,880,1336210,305336.9,cudaStreamCreateWithPriority
0.4,16077930,50,321558.6,74520.0,6880,3429410,601295.1,cuMemCreate
0.3,12029559,25,481182.4,133720.0,1970,5981219,1320673.6,cudaFree
0.3,10675850,2229,4789.5,380.0,220,3352230,95495.7,cuKernelGetFunction
0.3,10257580,8,1282197.5,1279450.0,70560,2803000,915817.9,cuMemImportFromShareableHandle
0.3,9608200,625,15373.1,5780.0,3110,3266680,152394.6,cudaLaunchKernelExC_v11060
0.3,9222700,2229,4137.6,3880.0,2730,40090,1905.2,cuLaunchKernel
0.2,7933980,56,141678.2,50970.0,1660,1974610,340625.4,cuMemMap
0.1,4965570,12123,409.6,360.0,160,278740,2544.1,cudaStreamIsCapturing_v10000
0.1,4382620,3555,1232.8,740.0,420,32870,1577.8,cudaEventQuery
0.1,3807660,12,317305.0,19260.0,3290,1876880,614765.4,cudaStreamCreateWithFlags
0.1,2716010,2223,1221.8,990.0,390,14870,794.4,cudaStreamWaitEvent
0.1,2687520,1945,1381.8,740.0,340,23240,1475.2,cudaEventRecord
0.1,2118900,306,6924.5,5460.0,1980,94330,8525.6,cudaMemsetAsync
0.0,1796720,9092,197.6,160.0,80,12390,208.7,cuKernelGetName
0.0,1759050,580,3032.8,190.0,130,287850,25841.7,cudaThreadExchangeStreamCaptureMode_v10010
0.0,1391700,2,695850.0,695850.0,221790,1169910,670422.1,cuMemRelease
0.0,967750,1857,521.1,440.0,160,8750,496.1,cudaStreamGetCaptureInfo_v12030
0.0,868410,893,972.5,770.0,360,26440,1300.6,cudaGetFuncBySymbol_v11000
0.0,853310,802,1064.0,940.0,330,23910,1048.9,cudaEventRecordWithFlags_v11010
0.0,793400,2318,342.3,290.0,70,8430,333.2,cuGetProcAddress_v2
0.0,627350,62,10118.5,255.0,80,300800,52711.1,cuMemGetAllocationGranularity
0.0,280800,56,5014.3,2125.0,720,26490,6141.0,cuMemAddressReserve
0.0,271840,5,54368.0,51150.0,37050,75690,17470.9,cudaMemPoolCreate_v11020
0.0,200090,213,939.4,580.0,190,8530,1065.6,cudaEventCreateWithFlags
0.0,187550,79,2374.1,1700.0,390,10980,2008.5,cuLibraryGetKernel
0.0,106210,100,1062.1,710.0,230,10360,1381.2,cudaEventDestroy
0.0,83810,3,27936.7,32270.0,19270,32270,7505.6,cudaMemGetInfo
0.0,44930,93,483.1,200.0,140,11620,1221.8,cudaGetDriverEntryPointByVersion_v12050
0.0,22390,1,22390.0,22390.0,22390,22390,0.0,cudaProfilerStart
0.0,14530,7,2075.7,1710.0,630,3910,1075.2,cuInit
0.0,13020,22,591.8,280.0,80,4430,935.7,cudaGetDeviceProperties_v12000
0.0,11220,5,2244.0,2120.0,2070,2590,223.8,cudaMemPoolSetAttribute_v11020
0.0,6810,5,1362.0,270.0,220,5650,2398.7,cuModuleGetLoadingMode

