-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::index         0.09%       4.134ms         0.14%       6.972ms      18.156us       1.371ms         0.17%       1.371ms       3.571us           384  
                                       _C::silu_and_mul         0.00%     233.870us         0.01%     447.210us       8.438us       1.347ms         0.17%       1.347ms      25.421us            53  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       1.347ms         0.17%       1.347ms      25.421us            53  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.264ms         0.16%       1.264ms       1.562us           809  
                                 chunk_gla_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us       1.186ms         0.15%       1.186ms      59.309us            20  
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm...         0.00%       0.000us         0.00%       0.000us       0.000us       1.085ms         0.14%       1.085ms      41.732us            26  
                                       cuLaunchKernelEx         0.12%       5.964ms         0.12%       5.964ms       3.905us     944.066us         0.12%     944.066us       0.618us          1527  
                               recompute_w_u_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     907.521us         0.12%     907.521us      45.376us            20  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     766.780us         0.10%     766.780us       5.990us           128  
                           _moe_C::moe_align_block_size         0.01%     257.450us         0.01%     627.400us      24.131us     758.207us         0.10%     758.207us      29.162us            26  
                 chunk_kda_fwd_kernel_inter_solve_fused         0.00%       0.000us         0.00%       0.000us       0.000us     751.905us         0.10%     751.905us      37.595us            20  
                    kda_gate_chunk_cumsum_vector_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     547.007us         0.07%     547.007us      27.350us            20  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     480.383us         0.06%     480.383us      24.019us            20  
                                            aten::fill_         0.06%       2.765ms         0.11%       5.416ms       3.759us     477.499us         0.06%     478.395us       0.332us          1441  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     461.439us         0.06%     461.439us       3.605us           128  
