-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.188s       150.72%        1.188s     121.512us          9779  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     627.069ms        79.54%     627.069ms     627.069ms             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     259.463ms        32.91%     259.463ms      36.856us          7040  
                                       vllm::all_reduce         0.00%     213.020us         0.08%       4.103ms      74.592us     121.312ms        15.39%     121.312ms       2.206ms            55  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     119.833ms        15.20%     119.833ms      18.004us          6656  
                                     _fwd_kernel_stage2         0.00%       0.000us         0.00%       0.000us       0.000us      72.284ms         9.17%      72.284ms      81.309us           889  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      64.600ms         8.19%      64.600ms      10.381us          6223  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      55.336ms         7.02%      55.336ms       6.407us          8637  
                                               aten::mm         0.10%       4.659ms         0.15%       7.207ms      21.449us      36.200ms         4.59%      36.200ms     107.738us           336  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      35.786ms         4.54%      35.786ms       4.269us          8382  
                               vllm::moe_forward_shared         0.00%     114.200us         8.97%     434.021ms      16.693ms      33.120ms         4.20%      44.868ms       1.726ms            26  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      23.013ms         2.92%      23.013ms       3.419us          6731  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      17.873ms         2.27%      17.873ms       2.635us          6784  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      13.963ms         1.77%      13.963ms     109.083us           128  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.701ms         1.61%      12.701ms       3.847us          3302  
                             _fwd_grouped_kernel_stage1         0.00%       0.000us         0.00%       0.000us       0.000us      11.669ms         1.48%      11.669ms      13.126us           889  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      11.061ms         1.40%      11.061ms       3.324us          3328  
