size_bytes,payload_label,elements,collective,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,REDUCESCATTER,Capped 100 Gbps,100,1099.32,0.0075,0.007
16384,16 KiB (Decode Token),4096,REDUCESCATTER,Capped 100 Gbps,100,1185.05,0.0138,0.013
32768,32 KiB,8192,REDUCESCATTER,Capped 100 Gbps,100,889.65,0.0368,0.0345
65536,64 KiB,16384,REDUCESCATTER,Capped 100 Gbps,100,2172.28,0.0302,0.0283
131072,128 KiB,32768,REDUCESCATTER,Capped 100 Gbps,100,2127.35,0.0616,0.0578
262144,256 KiB,65536,REDUCESCATTER,Capped 100 Gbps,100,2045.58,0.1282,0.1201
524288,512 KiB,131072,REDUCESCATTER,Capped 100 Gbps,100,2317.84,0.2262,0.2121
1048576,1 MiB,262144,REDUCESCATTER,Capped 100 Gbps,100,2565.1,0.4088,0.3832
2097152,2 MiB,524288,REDUCESCATTER,Capped 100 Gbps,100,2030.42,1.0329,0.9683
4194304,4 MiB,1048576,REDUCESCATTER,Capped 100 Gbps,100,2497.94,1.6791,1.5742
8388608,8 MiB,2097152,REDUCESCATTER,Capped 100 Gbps,100,2578.62,3.2531,3.0498
16777216,16 MiB,4194304,REDUCESCATTER,Capped 100 Gbps,100,1927.85,8.7026,8.1586
33554432,32 MiB,8388608,REDUCESCATTER,Capped 100 Gbps,100,1852.14,18.1166,16.9843
67108864,64 MiB,16777216,REDUCESCATTER,Capped 100 Gbps,100,3021.99,22.2068,20.8189
134217728,128 MiB (8K Prefill),33554432,REDUCESCATTER,Capped 100 Gbps,100,3295.01,40.7336,38.1878
268435456,256 MiB,67108864,REDUCESCATTER,Capped 100 Gbps,100,4874.06,55.0743,51.6322
