size_bytes,payload_label,elements,collective,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,REDUCESCATTER,Capped 50 Gbps,50,465.42,0.0176,0.0165
16384,16 KiB (Decode Token),4096,REDUCESCATTER,Capped 50 Gbps,50,1083.68,0.0151,0.0142
32768,32 KiB,8192,REDUCESCATTER,Capped 50 Gbps,50,1085.65,0.0302,0.0283
65536,64 KiB,16384,REDUCESCATTER,Capped 50 Gbps,50,1302.12,0.0503,0.0472
131072,128 KiB,32768,REDUCESCATTER,Capped 50 Gbps,50,826.42,0.1586,0.1487
262144,256 KiB,65536,REDUCESCATTER,Capped 50 Gbps,50,1006.23,0.2605,0.2442
524288,512 KiB,131072,REDUCESCATTER,Capped 50 Gbps,50,1178.08,0.445,0.4172
1048576,1 MiB,262144,REDUCESCATTER,Capped 50 Gbps,50,4024.08,0.2606,0.2443
2097152,2 MiB,524288,REDUCESCATTER,Capped 50 Gbps,50,2172.96,0.9651,0.9048
4194304,4 MiB,1048576,REDUCESCATTER,Capped 50 Gbps,50,2539.43,1.6517,1.5484
8388608,8 MiB,2097152,REDUCESCATTER,Capped 50 Gbps,50,2375.11,3.5319,3.3111
16777216,16 MiB,4194304,REDUCESCATTER,Capped 50 Gbps,50,2105.82,7.9671,7.4691
33554432,32 MiB,8388608,REDUCESCATTER,Capped 50 Gbps,50,2284.46,14.6881,13.7701
67108864,64 MiB,16777216,REDUCESCATTER,Capped 50 Gbps,50,1911.39,35.11,32.9156
134217728,128 MiB (8K Prefill),33554432,REDUCESCATTER,Capped 50 Gbps,50,4106.93,32.6808,30.6382
268435456,256 MiB,67108864,REDUCESCATTER,Capped 50 Gbps,50,6131.61,43.779,41.0428
