size_bytes,payload_label,elements,collective,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,ALLGATHER,Capped 20 Gbps,20,889.74,0.0092,0.0086
16384,16 KiB (Decode Token),4096,ALLGATHER,Capped 20 Gbps,20,1628.75,0.0101,0.0094
32768,32 KiB,8192,ALLGATHER,Capped 20 Gbps,20,1077.39,0.0304,0.0285
65536,64 KiB,16384,ALLGATHER,Capped 20 Gbps,20,1289.95,0.0508,0.0476
131072,128 KiB,32768,ALLGATHER,Capped 20 Gbps,20,2146.16,0.0611,0.0573
262144,256 KiB,65536,ALLGATHER,Capped 20 Gbps,20,1972.34,0.1329,0.1246
524288,512 KiB,131072,ALLGATHER,Capped 20 Gbps,20,1135.49,0.4617,0.4329
1048576,1 MiB,262144,ALLGATHER,Capped 20 Gbps,20,1315.91,0.7968,0.747
2097152,2 MiB,524288,ALLGATHER,Capped 20 Gbps,20,1583.6,1.3243,1.2415
4194304,4 MiB,1048576,ALLGATHER,Capped 20 Gbps,20,1985.78,2.1122,1.9802
8388608,8 MiB,2097152,ALLGATHER,Capped 20 Gbps,20,2938.21,2.855,2.6766
16777216,16 MiB,4194304,ALLGATHER,Capped 20 Gbps,20,2709.49,6.192,5.805
33554432,32 MiB,8388608,ALLGATHER,Capped 20 Gbps,20,1683.65,19.9296,18.684
67108864,64 MiB,16777216,ALLGATHER,Capped 20 Gbps,20,1463.63,45.851,42.9853
134217728,128 MiB (8K Prefill),33554432,ALLGATHER,Capped 20 Gbps,20,2748.86,48.8267,45.775
268435456,256 MiB,67108864,ALLGATHER,Capped 20 Gbps,20,4594.36,58.4272,54.7755
