size_bytes,payload_label,elements,collective,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,REDUCESCATTER,Capped 20 Gbps,20,523.88,0.0156,0.0147
16384,16 KiB (Decode Token),4096,REDUCESCATTER,Capped 20 Gbps,20,881.89,0.0186,0.0174
32768,32 KiB,8192,REDUCESCATTER,Capped 20 Gbps,20,1095.36,0.0299,0.028
65536,64 KiB,16384,REDUCESCATTER,Capped 20 Gbps,20,999.63,0.0656,0.0615
131072,128 KiB,32768,REDUCESCATTER,Capped 20 Gbps,20,521.23,0.2515,0.2358
262144,256 KiB,65536,REDUCESCATTER,Capped 20 Gbps,20,1286.75,0.2037,0.191
524288,512 KiB,131072,REDUCESCATTER,Capped 20 Gbps,20,1591.6,0.3294,0.3088
1048576,1 MiB,262144,REDUCESCATTER,Capped 20 Gbps,20,1062.34,0.987,0.9254
2097152,2 MiB,524288,REDUCESCATTER,Capped 20 Gbps,20,828.59,2.531,2.3728
4194304,4 MiB,1048576,REDUCESCATTER,Capped 20 Gbps,20,935.45,4.4837,4.2035
8388608,8 MiB,2097152,REDUCESCATTER,Capped 20 Gbps,20,760.84,11.0255,10.3364
16777216,16 MiB,4194304,REDUCESCATTER,Capped 20 Gbps,20,2704.6,6.2032,5.8155
33554432,32 MiB,8388608,REDUCESCATTER,Capped 20 Gbps,20,2168.06,15.4767,14.5094
67108864,64 MiB,16777216,REDUCESCATTER,Capped 20 Gbps,20,2359.0,28.448,26.67
134217728,128 MiB (8K Prefill),33554432,REDUCESCATTER,Capped 20 Gbps,20,3730.8,35.9756,33.7271
268435456,256 MiB,67108864,REDUCESCATTER,Capped 20 Gbps,20,3393.18,79.1103,74.1659
