size_bytes,payload_label,elements,collective,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,ALLGATHER,Capped 10 Gbps,10,1084.19,0.0076,0.0071
16384,16 KiB (Decode Token),4096,ALLGATHER,Capped 10 Gbps,10,1080.64,0.0152,0.0142
32768,32 KiB,8192,ALLGATHER,Capped 10 Gbps,10,1269.8,0.0258,0.0242
65536,64 KiB,16384,ALLGATHER,Capped 10 Gbps,10,1064.91,0.0615,0.0577
131072,128 KiB,32768,ALLGATHER,Capped 10 Gbps,10,1289.04,0.1017,0.0953
262144,256 KiB,65536,ALLGATHER,Capped 10 Gbps,10,1763.09,0.1487,0.1394
524288,512 KiB,131072,ALLGATHER,Capped 10 Gbps,10,1733.48,0.3024,0.2835
1048576,1 MiB,262144,ALLGATHER,Capped 10 Gbps,10,1414.0,0.7416,0.6952
2097152,2 MiB,524288,ALLGATHER,Capped 10 Gbps,10,1569.34,1.3363,1.2528
4194304,4 MiB,1048576,ALLGATHER,Capped 10 Gbps,10,1876.84,2.2348,2.0951
8388608,8 MiB,2097152,ALLGATHER,Capped 10 Gbps,10,1790.38,4.6854,4.3925
16777216,16 MiB,4194304,ALLGATHER,Capped 10 Gbps,10,2229.05,7.5266,7.0562
33554432,32 MiB,8388608,ALLGATHER,Capped 10 Gbps,10,3004.45,11.1682,10.4702
67108864,64 MiB,16777216,ALLGATHER,Capped 10 Gbps,10,2060.34,32.5717,30.536
134217728,128 MiB (8K Prefill),33554432,ALLGATHER,Capped 10 Gbps,10,4028.26,33.319,31.2366
268435456,256 MiB,67108864,ALLGATHER,Capped 10 Gbps,10,4809.03,55.819,52.3304
