size_bytes,payload_label,elements,collective,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,ALLGATHER,Capped 50 Gbps,50,1097.74,0.0075,0.007
16384,16 KiB (Decode Token),4096,ALLGATHER,Capped 50 Gbps,50,686.53,0.0239,0.0224
32768,32 KiB,8192,ALLGATHER,Capped 50 Gbps,50,3397.29,0.0096,0.009
65536,64 KiB,16384,ALLGATHER,Capped 50 Gbps,50,1323.03,0.0495,0.0464
131072,128 KiB,32768,ALLGATHER,Capped 50 Gbps,50,1233.66,0.1062,0.0996
262144,256 KiB,65536,ALLGATHER,Capped 50 Gbps,50,1115.58,0.235,0.2203
524288,512 KiB,131072,ALLGATHER,Capped 50 Gbps,50,1694.46,0.3094,0.2901
1048576,1 MiB,262144,ALLGATHER,Capped 50 Gbps,50,1369.7,0.7656,0.7177
2097152,2 MiB,524288,ALLGATHER,Capped 50 Gbps,50,1151.62,1.821,1.7072
4194304,4 MiB,1048576,ALLGATHER,Capped 50 Gbps,50,1373.82,3.053,2.8622
8388608,8 MiB,2097152,ALLGATHER,Capped 50 Gbps,50,1444.13,5.8088,5.4457
16777216,16 MiB,4194304,ALLGATHER,Capped 50 Gbps,50,1435.46,11.6877,10.9572
33554432,32 MiB,8388608,ALLGATHER,Capped 50 Gbps,50,1140.78,29.4136,27.5752
67108864,64 MiB,16777216,ALLGATHER,Capped 50 Gbps,50,1369.72,48.9946,45.9324
134217728,128 MiB (8K Prefill),33554432,ALLGATHER,Capped 50 Gbps,50,2688.51,49.9227,46.8025
268435456,256 MiB,67108864,ALLGATHER,Capped 50 Gbps,50,3105.11,86.4496,81.0465
