case,purpose,transferability,tp,pp,max_num_batched_tokens,prefix_caching,offload_gib,kv_cache_memory_bytes,bench,input_tokens,prefix_tokens,output_tokens_requested,concurrency,prompts,warmups,bench_exit_code,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms,ttfts_s_detail_json,peak_kv_usage,peak_running,peak_waiting,preemptions_delta,prefix_hits_delta,prefix_queries_delta,offload_bytes_delta,offload_time_delta_s,offload_load_bytes_delta,offload_store_bytes_delta,queue_mean_s_from_hist,prefill_mean_s_from_hist,decode_mean_s_from_hist,inference_mean_s_from_hist,prefill_kv_computed_tokens_mean,gpu_util_mean_pct,gpu_util_p95_pct,gpu_mem_util_mean_pct,gpu_mem_used_peak_mb,gpu_power_mean_w,gpu_sm_clock_mean_mhz
tp4_cold_chunk8k,Cold long-context baseline; no prefix caching/offload.,Runtime trend HIGH-MEDIUM; absolute latency LOW.,4,1,8192,False,0,,8k_c1,8192,0,256,1,5,1,0,7.571827885000403,5,0,40960,1280,0.6603425323368578,169.0476882782356,5578.573713181775,237.34968499993556,237.55782699981864,237.55782699981864,238.17301499975656,238.24215259968696,5.007322705882604,5.006988133334066,5.006988133334066,5.008623749020211,5.008828981961772,5.007323498039291,5.00659999988784,5.00659999988784,5.089361699947403,5.2591948600729665,1514.2169749999994,1514.3398010000055,1514.3398010000055,1515.3282790000048,1515.4847845999575,"[0.23595238699999754, 0.23755782699981864, 0.23825943699966956, 0.2371514470000875, 0.23782732700010456]",0.0014760147601475815,1.0,0.0,0.0,0.0,0.0,,,,,9.505000055772447e-06,0.2503907266666374,1.2769928406667077,1.5273835673333451,8192.0,19.789285714285715,98.0,4.496428571428571,89731.0,94.12367857142857,1258.9678571428572
tp8_cold_chunk8k,Matched TP4/TP8 runtime/topology sensitivity.,TP trend MEDIUM; absolute latency LOW.,8,1,8192,False,0,,8k_c1,8192,0,256,1,5,1,0,10.159418797999933,5,0,40960,1280,0.49215413789067747,125.99145930001343,4157.718156900443,278.4513703999437,277.80207700016035,277.80207700016035,280.66037620001225,281.17438404004133,6.875333322353197,6.875287878431788,6.875287878431788,6.8765466156864745,6.876694132549364,6.8753340752942576,6.873989999803598,6.873989999803598,6.972778999897855,7.156906800028082,2031.6613676000088,2031.1545039999146,2031.1545039999146,2033.8853640000707,2034.378108800138,"[0.2774734559998251, 0.27780207700016035, 0.2813028860000486, 0.2775880959998176, 0.27809033699986685]",0.001315789473684159,1.0,0.0,0.0,0.0,0.0,,,,,8.950000089195479e-06,0.2931862813333434,1.7533221440000943,2.0465084253334376,8192.0,45.38719512195122,99.0,5.771341463414634,87043.0,131.08271341463416,2335.795731707317
tp4_chunk4k,Chunked-prefill scheduler sensitivity.,Policy trend HIGH-MEDIUM; absolute TTFT LOW.,4,1,4096,False,0,,128k_c1,131072,0,256,1,5,0,0,34.5310913469998,5,0,655360,1280,0.14479704535705096,37.068043611405045,19015.90637265079,5451.638069999899,5402.286659999845,5402.286659999845,5604.10732600003,5643.363865200026,5.703388719215511,5.66060069803843,5.66060069803843,5.782497463528582,5.787343624469513,5.703389613332975,5.682810000052996,5.682810000052996,5.8502250000401546,6.314856199978749,6906.002193399854,6845.719576999727,6845.719576999727,7078.644179199819,7119.136489439752,"[5.653178000000025, 5.40782463000005, 5.402286659999845, 5.394165709999925, 5.40073534999965]",0.019134530468060018,1.0,0.0,0.0,0.0,0.0,,,,,1.3630000103148631e-05,5.257296420399962,1.454240053400008,6.71153647379997,131072.0,32.55929487179487,100.0,8.314102564102564,89881.0,141.36764423076923,1284.2291666666667
tp4_chunk16k,Chunked-prefill scheduler sensitivity.,Policy trend HIGH-MEDIUM; absolute TTFT LOW.,4,1,16384,False,0,,128k_c1,131072,0,256,1,5,0,0,30.5565051210001,5,0,655360,1280,0.16363127851829254,41.88960730068289,21489.368545250323,4654.343598399919,4607.89293300013,4607.89293300013,4799.193262599965,4836.285604519962,5.712714446274142,5.685940988236076,5.685940988236076,5.7838855129400555,5.787157846116458,5.712716054117039,5.6993200000761135,5.6993200000761135,5.841686000167101,6.357894199991279,6111.085782199825,6054.0360549998695,6054.0360549998695,6274.084068399679,6312.010855279659,"[4.845558689999962, 4.61373155299998, 4.60412110299967, 4.600413712999853, 4.60789293300013]",0.019548872180451093,1.0,0.0,0.0,0.0,0.0,,,,,1.3010000111535192e-05,4.4611935584000095,1.456713927799956,5.917907486199965,131072.0,30.96232876712329,100.0,7.238013698630137,89917.0,141.55885273972603,1284.4075342465753
tp4_prefix_chunk8k,Hybrid prefix-cache reuse behavior.,Semantics HIGH; absolute cache bytes/latency MEDIUM-LOW.,4,1,8192,True,0,,prefix128k_seq,131328,131072,128,1,5,0,0,10.121493507000196,5,0,656640,640,0.4939982421113955,63.23177499025862,64939.0329149956,1278.9245513999049,324.87851600035356,324.87851600035356,4142.297791599684,4905.263848719678,5.867686125983759,5.86615914960744,5.86615914960744,5.873504755905514,5.874938318110089,5.867687559053794,5.8650300002227596,5.8650300002227596,5.965978999893196,6.371330199917784,2024.1206893998424,1069.7828779998417,1069.7828779998417,4888.2328955996845,5651.381015119659,"[5.096005362999676, 0.3247806659996968, 0.3214907060000769, 0.32746750599972074, 0.32487851600035356]",0.02250922509225095,1.0,0.0,0.0,524288.0,656640.0,,,,,1.1886000174854417e-05,1.051971932399829,0.7446453460001067,1.7966172783999355,26470.4,15.467261904761905,100.0,3.9166666666666665,89777.0,102.54714285714286,1262.9880952380952
tp4_concurrency_saturation,User capacity envelope saturation.,Concurrency scaling HIGH.,4,1,8192,False,0,,8k_c1,8192,0,256,1,5,0,0,7.7483342830000765,5,0,40960,1280,0.6452999854394577,165.19679627250116,5451.494276992538,272.51395279999997,238.68557800005874,238.68557800005874,378.67476340024945,406.520348680333,5.00776636784305,5.008482298038799,5.008482298038799,5.008582611764509,5.008591898039252,5.007766987450761,5.007510000268667,5.007510000268667,5.0700739998774225,5.249258999710945,1549.4943765999778,1515.3884030000881,1515.3884030000881,1655.84874139995,1683.696525079995,"[0.41348174500035384, 0.23944683699983216, 0.23595892699995602, 0.2349966769997991, 0.23868557800005874]",0.0014760147601475815,1.0,0.0,0.0,0.0,0.0,,,,,9.563999992678873e-06,0.2558747327999299,1.2771603340000184,1.5330350667999482,8192.0,17.125,98.0,3.8933823529411766,89731.0,89.86716911764707,1258.2941176470588
tp4_pp2_dist,Two-node PP runtime semantics.,Mechanism/Trend HIGH.,4,2,8192,False,0,,128k_c1,131072,0,128,1,3,0,0,10.72575676300039,3,0,393216,384,0.2797005438673391,35.80166961501941,36696.711355394895,2832.610499999646,2716.49685400007,2716.49685400007,3039.620890299557,3068.343026859511,5.846039456692656,5.850082055119168,5.850082055119168,5.851170700786791,5.851267469290579,5.846041372701991,5.844799999977113,5.844799999977113,5.95545000032871,6.3037980004082765,3575.0575109996134,3459.4572750002044,3459.4572750002044,3782.719569299479,3811.4539954594147,"[3.0755235609994998, 2.71649685400007, 2.705811084999368]",0.008922443376801592,1.0,0.0,0.0,0.0,0.0,,,,,1.445333327865228e-05,2.640447357333263,0.7422920743332119,3.3827394316664745,131072.0,36.5030487804878,100.0,6.847560975609756,89655.0,174.10149390243902,2349.3445121951218
