file,label,kind,tp,network_provenance,cap_gbit,size_label,size_bytes,time_us,algbw_GBs,busbw_GBs,parse_index,raw_line
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/121_ar_tp8_16k.log,121_ar_tp8_16k,ALLREDUCE,8,,,16K,16384,37.52,0.44,0.76,5,16384          4096     float     sum      -1    37.52    0.44    0.76       0    32.78    0.50    0.87       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/121_ar_tp8_128k.log,121_ar_tp8_128k,ALLREDUCE,8,,,128K,131072,39.1,3.35,5.87,5,131072         32768     float     sum      -1    39.10    3.35    5.87       0    34.10    3.84    6.73       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/121_ar_tp8_512k.log,121_ar_tp8_512k,ALLREDUCE,8,,,512K,524288,60.15,8.72,15.25,5,524288        131072     float     sum      -1    60.15    8.72   15.25       0    57.84    9.06   15.86       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/121_ar_tp8_64m.log,121_ar_tp8_64m,ALLREDUCE,8,,,64M,67108864,2964.52,22.64,39.62,5,67108864      16777216     float     sum      -1  2964.52   22.64   39.62       0  2955.69   22.70   39.73       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/121_ar_tp8_128m.log,121_ar_tp8_128m,ALLREDUCE,8,,,128M,134217728,5890.5,22.79,39.87,5,134217728      33554432     float     sum      -1  5890.50   22.79   39.87       0  5882.58   22.82   39.93       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/121_ar_tp8_256m.log,121_ar_tp8_256m,ALLREDUCE,8,,,256M,268435456,11721.9,22.9,40.08,5,268435456      67108864     float     sum      -1  11721.9   22.90   40.08       0  11709.4   22.92   40.12       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-1/123_ar_tp8_curve.log,123_ar_tp8_curve,ALLREDUCE,8,,,,8,38.25,0.0,0.0,5,8             2     float     sum      -1    38.25    0.00    0.00       0    32.42    0.00    0.00       0
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_NATIVE_16k.log,220_sendrecv_GCP_NATIVE_16k,SENDRECV,,GCP_NATIVE,0.0,16K,16384,-1.0,5.34,3.07,4,16384          4096     float     sum      -1     5.34    3.07    3.07       0     1.17   14.04   14.04    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_NATIVE_128k.log,220_sendrecv_GCP_NATIVE_128k,SENDRECV,,GCP_NATIVE,0.0,128K,131072,-1.0,6.27,20.92,4,131072         32768     float     sum      -1     6.27   20.92   20.92       0     1.03  127.69  127.69    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_NATIVE_512k.log,220_sendrecv_GCP_NATIVE_512k,SENDRECV,,GCP_NATIVE,0.0,512K,524288,-1.0,7.01,74.79,4,524288        131072     float     sum      -1     7.01   74.79   74.79       0     1.16  450.42  450.42    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_NATIVE_64m.log,220_sendrecv_GCP_NATIVE_64m,SENDRECV,,GCP_NATIVE,0.0,64M,67108864,-1.0,49.05,1368.2,4,67108864      16777216     float     sum      -1    49.05  1368.2  1368.2       0     1.09   61709   61709    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_NATIVE_128m.log,220_sendrecv_GCP_NATIVE_128m,SENDRECV,,GCP_NATIVE,0.0,128M,134217728,-1.0,189.21,709.37,4,134217728      33554432     float     sum      -1   189.21  709.37  709.37       0     1.09  122629  122629    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_NATIVE_256m.log,220_sendrecv_GCP_NATIVE_256m,SENDRECV,,GCP_NATIVE,0.0,256M,268435456,-1.0,374.57,716.64,4,268435456      67108864     float     sum      -1   374.57  716.64  716.64       0     1.12  240318  240318    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_100G_16k.log,220_sendrecv_GCP_CAPPED_100G_16k,SENDRECV,,GCP_CAPPED_100G,100.0,16K,16384,-1.0,5.52,2.97,4,16384          4096     float     sum      -1     5.52    2.97    2.97       0     1.17   14.01   14.01    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_100G_128k.log,220_sendrecv_GCP_CAPPED_100G_128k,SENDRECV,,GCP_CAPPED_100G,100.0,128K,131072,-1.0,6.61,19.84,4,131072         32768     float     sum      -1     6.61   19.84   19.84       0     1.19  109.96  109.96    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_100G_512k.log,220_sendrecv_GCP_CAPPED_100G_512k,SENDRECV,,GCP_CAPPED_100G,100.0,512K,524288,-1.0,7.05,74.38,4,524288        131072     float     sum      -1     7.05   74.38   74.38       0     1.38  379.51  379.51    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_100G_64m.log,220_sendrecv_GCP_CAPPED_100G_64m,SENDRECV,,GCP_CAPPED_100G,100.0,64M,67108864,-1.0,49.15,1365.5,4,67108864      16777216     float     sum      -1    49.15  1365.5  1365.5       0     1.03   65376   65376    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_100G_128m.log,220_sendrecv_GCP_CAPPED_100G_128m,SENDRECV,,GCP_CAPPED_100G,100.0,128M,134217728,-1.0,189.57,708.03,4,134217728      33554432     float     sum      -1   189.57  708.03  708.03       0     1.16  115855  115855    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_100G_256m.log,220_sendrecv_GCP_CAPPED_100G_256m,SENDRECV,,GCP_CAPPED_100G,100.0,256M,268435456,-1.0,374.84,716.14,4,268435456      67108864     float     sum      -1   374.84  716.14  716.14       0     1.10  243148  243148    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_50G_16k.log,220_sendrecv_GCP_CAPPED_50G_16k,SENDRECV,,GCP_CAPPED_50G,50.0,16K,16384,-1.0,5.47,3.0,4,16384          4096     float     sum      -1     5.47    3.00    3.00       0     1.17   14.00   14.00    N/A
