
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp8_pp2_dist/prefill_128k/node1_capture/worker_process_183981.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp8_pp2_dist/prefill_128k/node1_capture/worker_process_183981.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp8_pp2_dist/prefill_128k/node1_capture/worker_process_183981.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.0,2257156430,11518,195967.7,47000.0,1840,135206757,4270993.5,cudaMemcpyAsync
7.9,265726216,52,5110119.5,79440.0,28640,257122576,35635247.5,cuModuleLoadData
6.9,233443877,10327,22605.2,17280.0,3390,50688239,499450.4,cudaStreamSynchronize
4.4,149828418,9432,15885.1,3910.0,2390,77234959,802266.8,cudaLaunchKernel
2.7,91118819,38,2397863.7,2072635.0,56860,7055250,1768704.8,cuLibraryLoadData
2.3,78139599,2097,37262.6,350.0,220,61494509,1370153.2,cuKernelGetFunction
1.5,51741249,103,502342.2,144140.0,2740,5478440,825678.6,cudaMalloc
1.3,42757480,8,5344685.0,4003000.0,742360,14377780,4448053.1,cuMemExportToShareableHandle
0.9,31862330,64,497848.9,265640.0,47200,3748410,670052.3,cuMemSetAccess
0.8,26960809,4269,6315.5,3250.0,2400,9483630,147329.2,cuLaunchKernelEx
0.8,26622180,295,90244.7,3140.0,1670,5281520,437017.3,cudaHostAlloc
0.7,22237390,128,173729.6,1260.0,870,1508090,352287.8,cudaStreamCreateWithPriority
0.5,16943160,2,8471580.0,8471580.0,21320,16921840,11950472.3,cudaDeviceSynchronize
0.4,14254580,672,21212.2,4890.0,2890,6345400,285707.8,cudaLaunchKernelExC_v11060
0.3,10444470,50,208889.4,37325.0,7030,2200170,382259.0,cuMemCreate
0.3,8782150,8,1097768.8,1198330.0,275120,2008170,543736.5,cuMemImportFromShareableHandle
0.2,6918560,2097,3299.3,3070.0,2410,35160,1651.7,cuLaunchKernel
0.1,4531180,12354,366.8,320.0,160,256450,2320.9,cudaStreamIsCapturing_v10000
0.1,4404740,56,78656.1,25185.0,1210,1021830,179209.2,cuMemMap
0.1,3955550,12,329629.2,16540.0,2210,3337590,954862.0,cudaStreamCreateWithFlags
0.1,3181120,21,151481.9,133760.0,2580,449030,136176.3,cudaFree
0.1,2569760,2239,1147.7,900.0,390,18740,903.1,cudaStreamWaitEvent
0.1,2420980,1957,1237.1,610.0,340,19050,1279.2,cudaEventRecord
0.1,2303440,1131,2036.6,1510.0,350,18770,1852.3,cudaEventQuery
0.1,1759230,281,6260.6,5430.0,1640,67830,5953.3,cudaMemsetAsync
0.0,1636720,9424,173.7,150.0,80,16380,214.8,cuKernelGetName
0.0,1452050,502,2892.5,200.0,130,279760,25639.2,cudaThreadExchangeStreamCaptureMode_v10010
0.0,942840,1867,505.0,370.0,160,14340,653.3,cudaStreamGetCaptureInfo_v12030
0.0,845530,943,896.6,710.0,320,15080,873.6,cudaEventRecordWithFlags_v11010
0.0,796470,2,398235.0,398235.0,309020,487450,126169.1,cuMemRelease
0.0,768030,892,861.0,765.0,380,7890,598.0,cudaGetFuncBySymbol_v11000
0.0,654080,2318,282.2,230.0,70,12130,342.5,cuGetProcAddress_v2
0.0,565760,62,9125.2,185.0,80,278220,48456.1,cuMemGetAllocationGranularity
0.0,246460,5,49292.0,52210.0,39280,58680,8310.8,cudaMemPoolCreate_v11020
0.0,218910,269,813.8,480.0,190,8170,840.2,cudaEventCreateWithFlags
0.0,206320,56,3684.3,1815.0,610,19860,4606.2,cuMemAddressReserve
0.0,168990,103,1640.7,1250.0,300,6870,1325.2,cuLibraryGetKernel
0.0,104810,146,717.9,500.0,250,3700,536.7,cudaEventDestroy
0.0,70710,3,23570.0,24560.0,21020,25130,2226.7,cudaMemGetInfo
0.0,40720,93,437.8,190.0,140,10440,1100.5,cudaGetDriverEntryPointByVersion_v12050
0.0,19820,1,19820.0,19820.0,19820,19820,0.0,cudaProfilerStart
0.0,12200,5,2440.0,2470.0,2200,2610,167.6,cudaMemPoolSetAttribute_v11020
0.0,10540,7,1505.7,1350.0,330,3630,1206.4,cuInit
0.0,9030,22,410.5,235.0,80,1210,350.4,cudaGetDeviceProperties_v12000
0.0,6120,5,1224.0,270.0,80,4790,2010.6,cuModuleGetLoadingMode

