-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.628s       153.91%        1.628s     166.457us          9779  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     661.864ms        62.58%     661.864ms     661.864ms             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     588.583ms        55.65%     588.583ms      83.606us          7040  
                                       vllm::all_reduce         0.00%     215.540us         0.06%       4.698ms      85.416us     177.651ms        16.80%     177.651ms       3.230ms            55  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     117.262ms        11.09%     117.262ms      17.617us          6656  
                                     _fwd_kernel_stage2         0.00%       0.000us         0.00%       0.000us       0.000us      69.837ms         6.60%      69.837ms      78.556us           889  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      33.622ms         3.18%      33.622ms      11.507us          2922  
                               vllm::moe_forward_shared         0.00%     113.920us         5.10%     435.287ms      16.742ms      33.021ms         3.12%      44.037ms       1.694ms            26  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      28.737ms         2.72%      28.737ms       3.771us          7620  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      26.662ms         2.52%      26.662ms       3.888us          6858  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      25.700ms         2.43%      25.700ms       3.818us          6731  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      22.478ms         2.13%      22.478ms       3.848us          5842  
                                               aten::mm         0.06%       4.802ms         0.09%       7.638ms      22.734us      21.066ms         1.99%      21.099ms      62.795us           336  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      17.923ms         1.69%      17.923ms       2.642us          6784  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.734ms         1.20%      12.734ms       3.856us          3302  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      11.117ms         1.05%      11.117ms       3.341us          3328  
                             _fwd_grouped_kernel_stage1         0.00%       0.000us         0.00%       0.000us       0.000us      10.939ms         1.03%      10.939ms      12.305us           889  
