-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.628s       154.47%        1.628s     166.449us          9779  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     660.955ms        62.72%     660.955ms     660.955ms             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     583.866ms        55.41%     583.866ms      82.936us          7040  
                                       vllm::all_reduce         0.00%     221.700us         0.06%       4.698ms      85.425us     174.016ms        16.51%     174.016ms       3.164ms            55  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     117.690ms        11.17%     117.690ms      17.682us          6656  
                                     _fwd_kernel_stage2         0.00%       0.000us         0.00%       0.000us       0.000us      69.291ms         6.58%      69.291ms      77.942us           889  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      33.708ms         3.20%      33.708ms      11.536us          2922  
                               vllm::moe_forward_shared         0.00%     128.570us         5.23%     434.813ms      16.724ms      33.111ms         3.14%      44.369ms       1.706ms            26  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      28.607ms         2.71%      28.607ms       3.754us          7620  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      26.846ms         2.55%      26.846ms       3.915us          6858  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      25.319ms         2.40%      25.319ms       3.762us          6731  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      22.576ms         2.14%      22.576ms       3.864us          5842  
                                               aten::mm         0.06%       4.746ms         0.09%       7.336ms      21.834us      21.001ms         1.99%      21.034ms      62.600us           336  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      18.068ms         1.71%      18.068ms       2.663us          6784  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.733ms         1.21%      12.733ms       3.856us          3302  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      11.138ms         1.06%      11.138ms       3.347us          3328  
                             _fwd_grouped_kernel_stage1         0.00%       0.000us         0.00%       0.000us       0.000us      10.972ms         1.04%      10.972ms      12.341us           889  
