-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.630s       153.56%        1.630s     166.682us          9779  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     662.142ms        62.38%     662.142ms     662.142ms             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     594.509ms        56.01%     594.509ms      84.447us          7040  
                                       vllm::all_reduce         0.00%     208.720us         0.10%       5.016ms      91.193us     182.862ms        17.23%     182.862ms       3.325ms            55  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     116.919ms        11.01%     116.919ms      17.566us          6656  
                                     _fwd_kernel_stage2         0.00%       0.000us         0.00%       0.000us       0.000us      71.521ms         6.74%      71.521ms      80.451us           889  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      33.614ms         3.17%      33.614ms      11.504us          2922  
                               vllm::moe_forward_shared         0.00%     113.920us         8.75%     431.287ms      16.588ms      32.910ms         3.10%      43.924ms       1.689ms            26  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      28.389ms         2.67%      28.389ms       3.726us          7620  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      26.568ms         2.50%      26.568ms       3.874us          6858  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      24.807ms         2.34%      24.807ms       3.685us          6731  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      22.526ms         2.12%      22.526ms       3.856us          5842  
                                               aten::mm         0.10%       4.806ms         0.14%       6.977ms      20.765us      21.048ms         1.98%      21.082ms      62.743us           336  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      18.143ms         1.71%      18.143ms       2.674us          6784  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.596ms         1.19%      12.596ms       3.815us          3302  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      11.115ms         1.05%      11.115ms       3.340us          3328  
                             _fwd_grouped_kernel_stage1         0.00%       0.000us         0.00%       0.000us       0.000us      10.785ms         1.02%      10.785ms      12.131us           889  
