-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.630s       154.08%        1.630s     166.696us          9779  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     661.034ms        62.48%     661.034ms     661.034ms             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     590.700ms        55.83%     590.700ms      83.906us          7040  
                                       vllm::all_reduce         0.00%     217.920us         0.09%       4.610ms      83.820us     177.573ms        16.78%     177.573ms       3.229ms            55  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     117.378ms        11.09%     117.378ms      17.635us          6656  
                                     _fwd_kernel_stage2         0.00%       0.000us         0.00%       0.000us       0.000us      69.809ms         6.60%      69.809ms      78.525us           889  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      33.646ms         3.18%      33.646ms      11.515us          2922  
                               vllm::moe_forward_shared         0.00%     134.140us         8.76%     431.681ms      16.603ms      33.015ms         3.12%      44.018ms       1.693ms            26  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      28.683ms         2.71%      28.683ms       3.764us          7620  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      26.764ms         2.53%      26.764ms       3.903us          6858  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      25.250ms         2.39%      25.250ms       3.751us          6731  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      22.593ms         2.14%      22.593ms       3.867us          5842  
                                               aten::mm         0.10%       4.830ms         0.14%       6.990ms      20.803us      21.026ms         1.99%      21.059ms      62.675us           336  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      17.901ms         1.69%      17.901ms       2.639us          6784  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.752ms         1.21%      12.752ms       3.862us          3302  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      11.096ms         1.05%      11.096ms       3.334us          3328  
                             _fwd_grouped_kernel_stage1         0.00%       0.000us         0.00%       0.000us       0.000us      10.903ms         1.03%      10.903ms      12.265us           889  
