
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp4_pp4_dist/prefill_128k/node0_capture/worker_process_1534737.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp4_pp4_dist/prefill_128k/node0_capture/worker_process_1534737.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp4_pp4_dist/prefill_128k/node0_capture/worker_process_1534737.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
51.0,1328080755,6465,205426.3,67030.0,2110,82723419,3230972.4,cudaMemcpyAsync
17.6,457635056,40,11440876.4,73130.0,36520,415855736,65852414.8,cuModuleLoadData
6.6,171159927,5604,30542.5,19440.0,3670,54347239,727261.7,cudaStreamSynchronize
5.5,142911450,24,5954643.8,4866570.0,2065140,16443040,3635390.8,cuMemExportToShareableHandle
3.4,87918430,124,709019.6,325225.0,51080,9175780,1282858.6,cuMemSetAccess
2.8,73820459,33,2236983.6,1783630.0,57100,7253670,1741193.5,cuLibraryLoadData
2.3,60509210,2,30254605.0,30254605.0,58260,60450950,42704080.6,cudaDeviceSynchronize
1.8,46815930,3390,13810.0,4350.0,2730,9938850,197807.9,cudaLaunchKernel
1.7,45036070,94,479107.1,189660.0,3470,4871740,887942.9,cudaMalloc
1.5,39333340,1126,34931.9,390.0,210,33382270,999991.1,cuKernelGetFunction
1.1,27956329,24,1164847.0,720810.0,139460,6371350,1388362.0,cuMemImportFromShareableHandle
1.1,27725079,86,322384.6,59735.0,13070,3618100,593471.7,cuMemCreate
0.7,19020070,2495,7623.3,4290.0,2930,4247800,94853.0,cuLaunchKernelEx
0.6,16696090,220,75891.3,3055.0,1880,5608260,443512.8,cudaHostAlloc
0.4,10861750,128,84857.4,1795.0,890,637540,157582.9,cudaStreamCreateWithPriority
0.3,8148950,351,23216.4,5920.0,3740,3310500,209638.1,cudaLaunchKernelExC_v11060
0.3,6802590,108,62986.9,49765.0,1390,644280,87589.5,cuMemMap
0.2,4885680,1126,4339.0,3970.0,2780,40090,2127.5,cuLaunchKernel
0.1,3701790,18,205655.0,21710.0,2470,2359410,564700.0,cudaStreamCreateWithFlags
0.1,3681780,1797,2048.8,1510.0,390,149160,3996.7,cudaEventQuery
0.1,3675140,27,136116.3,127310.0,3290,622620,128941.8,cudaFree
0.1,3404930,728,4677.1,180.0,130,2462270,92964.0,cudaThreadExchangeStreamCaptureMode_v10010
0.1,3158730,7359,429.2,360.0,160,282710,3317.4,cudaStreamIsCapturing_v10000
0.1,1894260,1581,1198.1,930.0,380,15520,905.6,cudaStreamWaitEvent
0.1,1796710,1404,1279.7,640.0,330,29930,1737.1,cudaEventRecord
0.1,1663080,115,14461.6,230.0,80,418360,67174.6,cuMemGetAllocationGranularity
0.0,1189040,2,594520.0,594520.0,267390,921650,462631.7,cuMemRelease
0.0,1073730,108,9941.9,3265.0,590,170660,22560.0,cuMemAddressReserve
0.0,1063850,98,10855.6,5740.0,1770,73920,14960.1,cudaMemsetAsync
0.0,812440,2318,350.5,300.0,70,12690,416.4,cuGetProcAddress_v2
0.0,809870,778,1041.0,850.0,350,16020,968.6,cudaEventRecordWithFlags_v11010
0.0,706410,3390,208.4,130.0,80,4710,205.4,cuKernelGetName
0.0,689620,581,1187.0,830.0,330,23510,1701.1,cudaGetFuncBySymbol_v11000
0.0,665220,1179,564.2,440.0,150,8000,593.8,cudaStreamGetCaptureInfo_v12030
0.0,376480,6,62746.7,57185.0,39950,88590,19198.0,cudaMemPoolCreate_v11020
0.0,241830,281,860.6,500.0,190,8320,922.6,cudaEventCreateWithFlags
0.0,167050,70,2386.4,1725.0,450,10340,1954.6,cuLibraryGetKernel
0.0,130730,154,848.9,565.0,220,10600,1003.5,cudaEventDestroy
0.0,88790,3,29596.7,25590.0,20940,42260,11210.5,cudaMemGetInfo
0.0,44550,93,479.0,190.0,150,11240,1191.9,cudaGetDriverEntryPointByVersion_v12050
0.0,36960,23,1607.0,210.0,90,25040,5158.7,cudaGetDeviceProperties_v12000
0.0,31020,4,7755.0,7480.0,4750,11310,3357.8,cudaStreamDestroy
0.0,19380,1,19380.0,19380.0,19380,19380,0.0,cudaProfilerStart
0.0,18630,7,2661.4,1790.0,510,8860,2838.5,cuInit
0.0,13260,5,2652.0,340.0,230,11410,4905.1,cuModuleGetLoadingMode
0.0,11450,6,1908.3,2030.0,1100,2200,409.1,cudaMemPoolSetAttribute_v11020

