size_bytes,payload_label,elements,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,Capped 100 Gbps,100,825.89,0.0099,0.0186
16384,16 KiB (Decode Token),4096,Capped 100 Gbps,100,1060.85,0.0154,0.029
32768,32 KiB,8192,Capped 100 Gbps,100,827.59,0.0396,0.0742
65536,64 KiB,16384,Capped 100 Gbps,100,951.83,0.0689,0.1291
131072,128 KiB,32768,Capped 100 Gbps,100,916.68,0.143,0.2681
262144,256 KiB,65536,Capped 100 Gbps,100,1804.42,0.1453,0.2724
524288,512 KiB,131072,Capped 100 Gbps,100,1819.56,0.2881,0.5403
1048576,1 MiB,262144,Capped 100 Gbps,100,3432.36,0.3055,0.5728
2097152,2 MiB,524288,Capped 100 Gbps,100,2207.51,0.95,1.7813
4194304,4 MiB,1048576,Capped 100 Gbps,100,1458.04,2.8767,5.3938
8388608,8 MiB,2097152,Capped 100 Gbps,100,1700.9,4.9319,9.2472
16777216,16 MiB,4194304,Capped 100 Gbps,100,2606.27,6.4373,12.0698
33554432,32 MiB,8388608,Capped 100 Gbps,100,1765.17,19.0092,35.6422
67108864,64 MiB,16777216,Capped 100 Gbps,100,1926.06,34.8426,65.3298
134217728,128 MiB (8K Prefill),33554432,Capped 100 Gbps,100,3009.81,44.5934,83.6127
268435456,256 MiB,67108864,Capped 100 Gbps,100,4862.68,55.2032,103.506
