size_bytes,payload_label,elements,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,Capped 20 Gbps,20,803.84,0.0102,0.0191
16384,16 KiB (Decode Token),4096,Capped 20 Gbps,20,1109.31,0.0148,0.0277
32768,32 KiB,8192,Capped 20 Gbps,20,957.58,0.0342,0.0642
65536,64 KiB,16384,Capped 20 Gbps,20,1310.0,0.05,0.0938
131072,128 KiB,32768,Capped 20 Gbps,20,1079.22,0.1215,0.2277
262144,256 KiB,65536,Capped 20 Gbps,20,1083.74,0.2419,0.4535
524288,512 KiB,131072,Capped 20 Gbps,20,2084.66,0.2515,0.4716
1048576,1 MiB,262144,Capped 20 Gbps,20,1835.76,0.5712,1.071
2097152,2 MiB,524288,Capped 20 Gbps,20,1809.42,1.159,2.1732
4194304,4 MiB,1048576,Capped 20 Gbps,20,2444.81,1.7156,3.2167
8388608,8 MiB,2097152,Capped 20 Gbps,20,1830.5,4.5827,8.5925
16777216,16 MiB,4194304,Capped 20 Gbps,20,1901.07,8.8251,16.5471
33554432,32 MiB,8388608,Capped 20 Gbps,20,1460.02,22.9822,43.0916
67108864,64 MiB,16777216,Capped 20 Gbps,20,2193.17,30.599,57.3732
134217728,128 MiB (8K Prefill),33554432,Capped 20 Gbps,20,2193.05,61.2014,114.7526
268435456,256 MiB,67108864,Capped 20 Gbps,20,4253.94,63.1028,118.3177
