size_bytes,payload_label,elements,network_tier,bandwidth_cap_gbit,time_us,algbw_gb_s,busbw_gb_s
8192,8 KiB (Min Size 8KB),2048,Capped 10 Gbps,10,1049.35,0.0078,0.0146
16384,16 KiB (Decode Token),4096,Capped 10 Gbps,10,1245.8,0.0132,0.0247
32768,32 KiB,8192,Capped 10 Gbps,10,1304.49,0.0251,0.0471
65536,64 KiB,16384,Capped 10 Gbps,10,1370.15,0.0478,0.0897
131072,128 KiB,32768,Capped 10 Gbps,10,1870.05,0.0701,0.1314
262144,256 KiB,65536,Capped 10 Gbps,10,1130.4,0.2319,0.4348
524288,512 KiB,131072,Capped 10 Gbps,10,1049.81,0.4994,0.9364
1048576,1 MiB,262144,Capped 10 Gbps,10,866.3,1.2104,2.2695
2097152,2 MiB,524288,Capped 10 Gbps,10,1105.92,1.8963,3.5556
4194304,4 MiB,1048576,Capped 10 Gbps,10,1105.55,3.7939,7.1135
8388608,8 MiB,2097152,Capped 10 Gbps,10,1724.58,4.8641,9.1203
16777216,16 MiB,4194304,Capped 10 Gbps,10,1592.72,10.5337,19.7507
33554432,32 MiB,8388608,Capped 10 Gbps,10,2408.94,13.9291,26.1171
67108864,64 MiB,16777216,Capped 10 Gbps,10,2132.61,31.4679,59.0024
134217728,128 MiB (8K Prefill),33554432,Capped 10 Gbps,10,2394.3,56.0572,105.1072
268435456,256 MiB,67108864,Capped 10 Gbps,10,5113.02,52.5004,98.4382
