
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp8_pp2_dist/prefill_128k/node1_capture/worker_process_183969.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp8_pp2_dist/prefill_128k/node1_capture/worker_process_183969.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp8_pp2_dist/prefill_128k/node1_capture/worker_process_183969.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.1,2158563273,11518,187407.8,35750.0,1720,135054228,4259899.6,cudaMemcpyAsync
9.2,315640044,52,6070000.8,61855.0,28470,309779305,42943270.8,cuModuleLoadData
6.9,234391636,10327,22697.0,17300.0,3870,50696869,499565.1,cudaStreamSynchronize
5.4,185251018,9432,19640.7,3800.0,2340,112788919,1167194.2,cudaLaunchKernel
3.5,120809949,2097,57610.8,370.0,220,104400259,2296300.8,cuKernelGetFunction
2.5,86109458,38,2266038.4,2015665.0,59700,6494790,1677523.0,cuLibraryLoadData
1.6,53665839,103,521027.6,174000.0,3040,5398989,770968.7,cudaMalloc
1.5,51888888,8,6486111.0,6322045.0,4192050,10519529,2185444.7,cuMemExportToShareableHandle
1.3,43831998,64,684875.0,206385.0,46970,6304099,1156075.8,cuMemSetAccess
0.9,32223340,295,109231.7,3040.0,1770,7318990,598837.8,cudaHostAlloc
0.8,26713390,4269,6257.5,3140.0,2260,9415360,146768.2,cuLaunchKernelEx
0.7,24039489,128,187808.5,1155.0,890,1359310,337285.8,cudaStreamCreateWithPriority
0.4,12885380,672,19174.7,4860.0,2720,4838040,231622.3,cudaLaunchKernelExC_v11060
0.4,12417910,50,248358.2,47535.0,6660,1514660,368931.5,cuMemCreate
0.4,12323120,2,6161560.0,6161560.0,22240,12300880,8682309.6,cudaDeviceSynchronize
0.2,7507410,8,938426.3,827585.0,138700,2947120,915088.2,cuMemImportFromShareableHandle
0.2,6747200,2097,3217.5,2990.0,2370,29350,1594.6,cuLaunchKernel
0.1,4800940,12354,388.6,350.0,160,266150,2411.9,cudaStreamIsCapturing_v10000
0.1,3941340,56,70381.1,28550.0,1150,892650,133370.0,cuMemMap
0.1,3938710,12,328225.8,15350.0,2200,3210890,920225.7,cudaStreamCreateWithFlags
0.1,2691080,21,128146.7,136220.0,2550,309880,99727.3,cudaFree
0.1,2607930,2239,1164.8,880.0,400,17340,980.3,cudaStreamWaitEvent
0.1,2410890,1957,1231.9,610.0,350,21750,1212.2,cudaEventRecord
0.1,2309350,1114,2073.0,1545.0,450,25280,1894.8,cudaEventQuery
0.1,1796700,281,6394.0,5500.0,1490,65080,5780.1,cudaMemsetAsync
0.0,1646590,9424,174.7,150.0,80,15070,220.8,cuKernelGetName
0.0,1451170,500,2902.3,180.0,120,278930,25717.9,cudaThreadExchangeStreamCaptureMode_v10010
0.0,873760,1867,468.0,370.0,160,5760,387.6,cudaStreamGetCaptureInfo_v12030
0.0,853310,943,904.9,690.0,320,18760,954.5,cudaEventRecordWithFlags_v11010
0.0,788230,892,883.7,760.0,400,20480,896.7,cudaGetFuncBySymbol_v11000
0.0,774330,2318,334.1,280.0,70,29030,665.7,cuGetProcAddress_v2
0.0,699060,2,349530.0,349530.0,212310,486750,194058.4,cuMemRelease
0.0,658610,62,10622.7,220.0,70,326290,56663.1,cuMemGetAllocationGranularity
0.0,306680,269,1140.1,460.0,190,93770,5721.0,cudaEventCreateWithFlags
0.0,241560,5,48312.0,50950.0,29190,57170,11135.5,cudaMemPoolCreate_v11020
0.0,185540,103,1801.4,1530.0,250,9490,1511.4,cuLibraryGetKernel
0.0,166480,56,2972.9,1950.0,690,20360,3492.2,cuMemAddressReserve
0.0,97820,146,670.0,475.0,230,3020,439.3,cudaEventDestroy
0.0,57080,3,19026.7,17860.0,17510,21710,2330.4,cudaMemGetInfo
0.0,38030,93,408.9,180.0,140,9150,969.3,cudaGetDriverEntryPointByVersion_v12050
0.0,21000,1,21000.0,21000.0,21000,21000,0.0,cudaProfilerStart
0.0,10670,22,485.0,315.0,80,2770,585.4,cudaGetDeviceProperties_v12000
0.0,9890,7,1412.9,1410.0,500,2870,810.8,cuInit
0.0,9000,5,1800.0,1910.0,1140,2040,375.7,cudaMemPoolSetAttribute_v11020
0.0,8060,5,1612.0,180.0,110,6890,2960.0,cuModuleGetLoadingMode

