case,groups,purpose,tp,pp,network_provenance,network_mode,configured_network_cap_gbps,nccl_transport_provenance,physical_gpu_indices,max_num_batched_tokens,max_num_seqs,max_num_active_seqs,kv_cache_dtype,kv_cache_memory_bytes,offload_gib_total,prefix_caching,observability_profile,bench,status,requested_input_tokens,requested_output_tokens,concurrency,prompts_requested,warmups,request_rate,burstiness,probe_request_rate,bench_exit_code,completed,failed,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms_raw,p99_ttft_ms_raw,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms_raw,p99_tpot_ms_raw,mean_itl_ms,mean_e2el_ms,actual_input_min,actual_input_max,actual_input_mean,actual_output_min,actual_output_max,actual_output_mean,input_len_exact_match,metric_samples,peak_kv_usage,peak_running,peak_waiting,mean_running,mean_waiting,preemptions_delta,preemptions_metric,prefix_hits_delta,prefix_queries_delta,prefix_hit_metric,prefix_query_metric,offload_bytes_delta,offload_time_delta_s,queue_mean_s_from_hist,prefill_mean_s_from_hist,decode_mean_s_from_hist,inference_mean_s_from_hist,gpu_node_stats_json,metrics_capture_status,p95_reliable,p99_reliable,p95_ttft_ms,p99_ttft_ms,p95_tpot_ms,p99_tpot_ms
tp4_openloop_8192,open_loop;generated_load,Open-loop Poisson/gamma arrival sweep derived from measured closed-loop service rate; not an absolute capacity claim.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,64,,auto,,0,False,full,rps_0.25x,COMPLETED,8192,256,64,64,0,1.058698,1.0,,0,64,0,62.34433189899937,1.0265568344478033,262.79854961863765,8672.352137415042,305.0675758279908,245.78562649912783,728.3976576509298,950.2271587005089,8.966233517585753,7.836412970594693,17.718011771766587,18.71841595681711,8.968981817161904,2591.4571228123577,8192,8192,8192,256,256,256,True,122,0.016431776527839226,13.0,1.0,2.0491803278688523,0.00819672131147541,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,0.013622682453046764,0.250031571156228,2.286314292453085,2.536345863609313,"{""node0"": {""gpu_mem_used_peak_mb"": 88765.0, ""gpu_power_mean_w"": 181.9297131147541, ""gpu_samples"": 488, ""gpu_sm_clock_mean_mhz"": 2349.2561475409834, ""gpu_util_mean_pct"": 66.86065573770492, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,True,False,728.3976576509298,,17.718011771766587,
tp4_openloop_8192,open_loop;generated_load,Open-loop Poisson/gamma arrival sweep derived from measured closed-loop service rate; not an absolute capacity claim.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,64,,auto,,0,False,full,rps_0.50x,COMPLETED,8192,256,64,128,0,2.117396,1.0,,0,128,0,62.87727679899763,2.035711572070509,521.1421624500503,17197.69136085166,348.53258621097893,261.5090164981666,670.6964668492217,756.7319828284963,16.58094154592571,16.67269727843043,25.90762138431184,27.634803360390567,16.58246609336071,4576.672680422035,8192,8192,8192,256,256,256,True,126,0.029008405485685396,23.0,1.0,7.317460317460317,0.015873015873015872,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,0.004298084484048559,0.2829592010704971,4.228030531320286,4.510989732390783,"{""node0"": {""gpu_mem_used_peak_mb"": 88765.0, ""gpu_power_mean_w"": 214.91932, ""gpu_samples"": 500, ""gpu_sm_clock_mean_mhz"": 2400.404, ""gpu_util_mean_pct"": 78.986, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,True,True,670.6964668492217,756.7319828284963,25.90762138431184,27.634803360390567
tp4_openloop_8192,open_loop;generated_load,Open-loop Poisson/gamma arrival sweep derived from measured closed-loop service rate; not an absolute capacity claim.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,64,,auto,,0,False,full,rps_0.75x,COMPLETED,8192,256,64,191,0,3.176095,1.0,,0,191,0,64.60344247099783,2.9564987978116624,756.8636922397856,24976.501843912927,599.0184727957414,549.3375919977552,1193.0820284997026,1289.4791278988116,40.52307011569632,42.22401862745185,62.23355362548603,67.4090724898084,40.52307052817963,10932.401352298304,8192,8192,8192,256,256,256,True,129,0.08076850154837889,64.0,3.0,25.51937984496124,0.23255813953488372,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,0.08106681746060802,0.4320576724816162,10.333482081288022,10.765539753769637,"{""node0"": {""gpu_mem_used_peak_mb"": 88863.0, ""gpu_power_mean_w"": 233.44267441860464, ""gpu_samples"": 516, ""gpu_sm_clock_mean_mhz"": 2417.0271317829456, ""gpu_util_mean_pct"": 79.91472868217055, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,True,True,1193.0820284997026,1289.4791278988116,62.23355362548603,67.4090724898084
tp4_openloop_8192,open_loop;generated_load,Open-loop Poisson/gamma arrival sweep derived from measured closed-loop service rate; not an absolute capacity claim.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,64,,auto,,0,False,full,rps_0.90x,COMPLETED,8192,256,64,229,0,3.811314,1.0,,0,229,0,69.35990792600205,3.3016191463851574,845.2145014746003,27892.078548661808,935.8955536418924,856.649147997814,1896.2199060006242,2419.0711423999164,60.85570539910975,68.28413108627964,70.21062799528818,70.81841828313704,60.855706048822746,16454.10043041488,8192,8192,8192,256,256,256,True,140,0.08089489982936227,64.0,8.0,42.07142857142857,0.5214285714285715,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,0.1818064116419863,0.5870243547204742,15.518375734493402,16.105400089213877,"{""node0"": {""gpu_mem_used_peak_mb"": 88863.0, ""gpu_power_mean_w"": 237.0600357142857, ""gpu_samples"": 560, ""gpu_sm_clock_mean_mhz"": 2418.025, ""gpu_util_mean_pct"": 79.61607142857143, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,True,True,1896.2199060006242,2419.0711423999164,70.21062799528818,70.81841828313704
tp4_openloop_8192,open_loop;generated_load,Open-loop Poisson/gamma arrival sweep derived from measured closed-loop service rate; not an absolute capacity claim.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,64,,auto,,0,False,full,rps_1.00x,COMPLETED,8192,256,64,255,0,4.234793,1.0,,0,255,0,75.92437910399894,3.3586050094753968,859.8028824257016,28373.495120048152,979.0564297764778,851.7914780022693,2396.1307613022655,2729.703442601094,62.4068069175393,68.33448818430827,70.5273062823564,70.68756570039012,62.40680733430234,16892.792193749,8192,8192,8192,256,256,256,True,150,0.08089489982936227,64.0,10.0,44.74666666666667,0.7066666666666667,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,0.2537480604471057,0.5562030145019925,15.913816066113698,16.470019080615693,"{""node0"": {""gpu_mem_used_peak_mb"": 88863.0, ""gpu_power_mean_w"": 241.8638, ""gpu_samples"": 600, ""gpu_sm_clock_mean_mhz"": 2417.951666666667, ""gpu_util_mean_pct"": 80.43166666666667, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,True,True,2396.1307613022655,2729.703442601094,70.5273062823564,70.68756570039012
tp4_openloop_8192,open_loop;generated_load,Open-loop Poisson/gamma arrival sweep derived from measured closed-loop service rate; not an absolute capacity claim.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,64,,auto,,0,False,full,rps_1.10x,COMPLETED,8192,256,64,280,0,4.658272,1.0,,0,280,0,83.66421079599968,3.3467117819676835,856.758216183727,28273.02113406299,783.5158901677719,851.9514979998348,1929.347327899633,2504.2064773796637,63.13483312072855,68.83400492353009,71.10825828431366,71.57375458783359,63.13483355840364,16882.898335953556,8192,8192,8192,256,256,256,True,165,0.08089489982936227,64.0,9.0,45.096969696969694,0.3333333333333333,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,0.12045699293574737,0.5167798599713413,16.099396665053533,16.616176525024873,"{""node0"": {""gpu_mem_used_peak_mb"": 88883.0, ""gpu_power_mean_w"": 244.57592987804878, ""gpu_samples"": 656, ""gpu_sm_clock_mean_mhz"": 2418.0198170731705, ""gpu_util_mean_pct"": 81.89481707317073, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,True,True,1929.347327899633,2504.2064773796637,71.10825828431366,71.57375458783359
tp4_openloop_8192,open_loop;generated_load,Open-loop Poisson/gamma arrival sweep derived from measured closed-loop service rate; not an absolute capacity claim.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,64,,auto,,0,False,full,rps_1.25x,COMPLETED,8192,256,64,318,0,5.293491,1.0,,0,318,0,92.93221278599958,3.42184900656866,875.993345681577,28907.78040749204,825.7056521383474,856.808248498055,1423.9668840000375,1769.0516577696685,64.00514512410884,68.69597935293831,70.78997635883057,71.00670401724832,64.00514549308144,17147.017658786102,8192,8192,8192,256,256,256,True,181,0.08089489982936227,64.0,5.0,47.48618784530387,0.2430939226519337,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,0.08344723975151626,0.5717814620252026,16.321433398358504,16.893214860383708,"{""node0"": {""gpu_mem_used_peak_mb"": 88883.0, ""gpu_power_mean_w"": 247.23433701657459, ""gpu_samples"": 724, ""gpu_sm_clock_mean_mhz"": 2417.765193370166, ""gpu_util_mean_pct"": 82.48480662983425, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,True,True,1423.9668840000375,1769.0516577696685,70.78997635883057,71.00670401724832
tp4_openloop_131072,open_loop;generated_load,Open-loop Poisson/gamma arrival sweep derived from measured closed-loop service rate; not an absolute capacity claim.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,32,,auto,,0,False,full,rps_0.25x,COMPLETED,131072,256,32,24,0,0.057028,1.0,,0,24,0,426.71342501600157,0.0562438362446647,14.398422078634162,7386.390526339325,5105.164860583652,4546.982776499135,7540.958883150047,10516.172147370451,12.712455007026232,6.126141758824245,39.37277508176749,42.386823412000545,12.72493101946228,8346.840887375341,131072,131072,131072,256,256,256,True,744,0.04910292728989618,3.0,2.0,0.396505376344086,0.0228494623655914,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,0.42167524370870524,4.466040465708223,3.2420209150415453,7.708061380749768,"{""node0"": {""gpu_mem_used_peak_mb"": 90537.0, ""gpu_power_mean_w"": 156.2112936827957, ""gpu_samples"": 2976, ""gpu_sm_clock_mean_mhz"": 2357.07123655914, ""gpu_util_mean_pct"": 28.6122311827957, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,True,False,7540.958883150047,,39.37277508176749,
tp4_openloop_131072,open_loop;generated_load,Open-loop Poisson/gamma arrival sweep derived from measured closed-loop service rate; not an absolute capacity claim.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,32,,auto,,0,False,full,rps_0.50x,COMPLETED,131072,256,32,24,0,0.114055,1.0,,0,24,0,225.6589344560016,0.10635519509944091,27.226929945456874,13967.415062019378,7510.657292125264,6161.249001501346,16161.918703998335,19615.253249409507,36.74292491781005,26.1117595705953,95.51908716136977,104.9580914239204,36.81511201653573,16880.103146166828,131072,131072,131072,256,256,256,True,407,0.1145105445388731,7.0,4.0,1.3267813267813269,0.24324324324324326,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,2.51965838583313,4.70270812212478,9.368655506583915,14.071363628708696,"{""node0"": {""gpu_mem_used_peak_mb"": 90567.0, ""gpu_power_mean_w"": 206.57565270935962, ""gpu_samples"": 1624, ""gpu_sm_clock_mean_mhz"": 2395.1514778325122, ""gpu_util_mean_pct"": 49.539408866995075, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,True,False,16161.918703998335,,95.51908716136977,
tp4_openloop_131072,open_loop;generated_load,Open-loop Poisson/gamma arrival sweep derived from measured closed-loop service rate; not an absolute capacity claim.,4,1,SINGLE_NODE_LOCAL,local,0,,"[0, 1, 2, 3]",8192,32,,auto,,0,False,full,rps_0.75x,COMPLETED,131072,256,32,24,0,0.171083,1.0,,0,24,0,146.11273541599803,0.16425672910488961,42.04972265085174,21571.507719886944,6935.757117541925,6034.452553500159,14058.080749100363,17662.677688168696,50.568515993627386,28.599327007845307,145.2643028919698,160.8804403595287,50.71768624729622,19830.728695916907,131072,131072,131072,256,256,256,True,273,0.16361347182876929,10.0,3.0,2.4945054945054945,0.2783882783882784,0.0,vllm:num_preemptions_total,0.0,0.0,vllm:prefix_cache_hits_total,vllm:prefix_cache_queries_total,,,1.940886776999984,4.731515246374784,12.894282518791746,17.625797765166528,"{""node0"": {""gpu_mem_used_peak_mb"": 90567.0, ""gpu_power_mean_w"": 267.85865384615386, ""gpu_samples"": 1092, ""gpu_sm_clock_mean_mhz"": 2418.1858974358975, ""gpu_util_mean_pct"": 72.75732600732601, ""gpu_util_peak_pct"": 100.0}}",CAPTURED,True,False,14058.080749100363,,145.2643028919698,
