
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp4_pp4_dist/prefill_128k/node1_capture/worker_process_191130.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp4_pp4_dist/prefill_128k/node1_capture/worker_process_191130.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_capped/GCP_CAPPED_100G/profiles/tp4_pp4_dist/prefill_128k/node1_capture/worker_process_191130.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
40.8,1260894044,5710,220822.1,80770.0,1850,81297799,3215264.9,cudaMemcpyAsync
27.6,852025928,23,37044605.6,45140110.0,3790,73878349,27650944.6,cudaEventSynchronize
5.2,158984788,4813,33032.4,17520.0,3170,54417419,792603.8,cudaStreamSynchronize
4.3,132209038,52,2542481.5,62625.0,28150,128268708,17777017.3,cuModuleLoadData
3.5,109291947,24,4553831.1,3697184.5,62340,16196920,3578997.5,cuMemExportToShareableHandle
3.1,94722029,99,956788.2,244970.0,3230,8740590,1615160.3,cudaMalloc
2.9,89064480,38,2343802.1,1939265.0,59280,6724950,1719237.1,cuLibraryLoadData
2.6,79872638,116,688557.2,281140.0,53320,3254450,827237.3,cuMemSetAccess
2.6,79404408,3449,23022.4,3540.0,2500,26713629,513927.5,cudaLaunchKernel
1.9,60005589,971,61797.7,350.0,220,54848569,1762585.0,cuKernelGetFunction
1.1,32521080,24,1355045.0,294090.0,75530,9273390,2396236.3,cuMemImportFromShareableHandle
1.0,30036540,78,385083.8,102465.0,8800,3537860,572663.5,cuMemCreate
0.8,25804300,415,62179.0,2860.0,1610,5570830,483727.9,cudaHostAlloc
0.6,18349030,2190,8378.6,3460.0,2440,7538890,165547.5,cuLaunchKernelEx
0.5,14552090,128,113688.2,1110.0,870,1443650,258704.2,cudaStreamCreateWithPriority
0.5,14044298,100,140443.0,49520.0,1250,2335109,339967.9,cuMemMap
0.2,7174829,316,22705.2,5210.0,2940,3309029,212572.9,cudaLaunchKernelExC_v11060
0.1,4329980,2,2164990.0,2164990.0,41170,4288810,3003535.0,cudaDeviceSynchronize
0.1,3553780,27,131621.5,128610.0,2620,387490,103412.8,cudaFree
0.1,3339000,971,3438.7,3150.0,2430,36460,1991.4,cuLaunchKernel
0.1,2618470,6520,401.6,320.0,160,265050,3305.6,cudaStreamIsCapturing_v10000
0.1,2322030,1083,2144.1,1660.0,350,21370,1691.1,cudaEventQuery
0.0,1529940,1305,1172.4,870.0,390,21950,988.2,cudaStreamWaitEvent
0.0,1410960,1173,1202.9,620.0,360,22580,1280.7,cudaEventRecord
0.0,1387640,106,13090.9,205.0,80,281400,57633.4,cuMemGetAllocationGranularity
0.0,1233520,16,77095.0,11815.0,2390,666660,177368.8,cudaStreamCreateWithFlags
0.0,774600,789,981.7,710.0,330,11140,999.2,cudaEventRecordWithFlags_v11010
0.0,772740,100,7727.4,5755.0,1600,62280,9626.6,cudaMemsetAsync
0.0,691980,520,1330.7,180.0,130,279830,16591.5,cudaThreadExchangeStreamCaptureMode_v10010
0.0,652840,2318,281.6,230.0,80,8400,278.3,cuGetProcAddress_v2
0.0,584500,1083,539.7,350.0,170,7590,568.5,cudaStreamGetCaptureInfo_v12030
0.0,577240,3441,167.8,130.0,80,4080,126.6,cuKernelGetName
0.0,503120,100,5031.2,1805.0,660,70360,10482.2,cuMemAddressReserve
0.0,476030,500,952.1,760.0,370,16260,1001.3,cudaGetFuncBySymbol_v11000
0.0,359350,2,179675.0,179675.0,72680,286670,151313.8,cuMemRelease
0.0,277860,5,55572.0,60990.0,29910,69570,15867.9,cudaMemPoolCreate_v11020
0.0,212420,253,839.6,470.0,190,7250,860.6,cudaEventCreateWithFlags
0.0,160860,95,1693.3,1240.0,370,6750,1423.6,cuLibraryGetKernel
0.0,132200,146,905.5,745.0,230,11540,1136.9,cudaEventDestroy
0.0,78620,3,26206.7,25080.0,22570,30970,4311.8,cudaMemGetInfo
0.0,41000,93,440.9,190.0,140,10420,1099.9,cudaGetDriverEntryPointByVersion_v12050
0.0,32210,1,32210.0,32210.0,32210,32210,0.0,cudaProfilerStart
0.0,31040,4,7760.0,7385.0,4820,11450,3420.1,cudaStreamDestroy
0.0,11500,5,2300.0,2420.0,1390,2740,549.5,cudaMemPoolSetAttribute_v11020
0.0,11000,7,1571.4,1360.0,370,3760,1273.5,cuInit
0.0,8620,5,1724.0,260.0,90,7580,3276.1,cuModuleGetLoadingMode
0.0,8620,22,391.8,255.0,80,1160,323.3,cudaGetDeviceProperties_v12000

