row_id,test_group,case,bench,tp,pp,input_tokens_displayed,concurrency,ttft_ms,tpot_ms,output_tok_s,kv_peak_pct,status,provenance_status,evidence_class_target,extra_vs_archived_v6,run_id,source_file,sample_count_N
tp4_chunk8k::128k_c1,chunking,tp4_chunk8k,128k_c1,4,1,131072,1,4544.5,5.11,13.2,1.6,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_chunk8k::128k_c4,chunking,tp4_chunk8k,128k_c4,4,1,131072,4,10928.1,117.39,13.9,6.5,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_chunk8k::512k_c1,chunking,tp4_chunk8k,512k_c1,4,1,524288,1,31966.6,7.58,1.0,6.5,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_chunk8k::1m_c1,chunking,tp4_chunk8k,1m_c1,4,1,1000000,1,93375.9,10.37,0.2,12.3,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_chunk16k::128k_c1,chunking,tp4_chunk16k,128k_c1,4,1,131072,1,4366.5,5.09,13.7,1.7,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_chunk16k::128k_c4,chunking,tp4_chunk16k,128k_c4,4,1,131072,4,10922.1,106.51,14.5,6.6,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_chunk16k::512k_c1,chunking,tp4_chunk16k,512k_c1,4,1,524288,1,30498.9,7.54,1.0,6.6,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_chunk16k::1m_c1,chunking,tp4_chunk16k,1m_c1,4,1,1000000,1,89164.1,10.26,0.2,12.5,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_8k::c1,concurrency,tp4_closedloop_8k,c1,4,1,8192,1,224.9,4.47,187.6,0.1,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_8k::c4,concurrency,tp4_closedloop_8k,c4,4,1,8192,4,610.8,7.27,415.3,0.5,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_8k::c8,concurrency,tp4_closedloop_8k,c8,4,1,8192,8,916.5,10.73,559.7,1.0,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_8k::c16,concurrency,tp4_closedloop_8k,c16,4,1,8192,16,1155.8,19.27,673.2,2.0,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_8k::c32,concurrency,tp4_closedloop_8k,c32,4,1,8192,32,1623.7,34.96,774.4,4.0,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_128k::c1,concurrency,tp4_closedloop_128k,c1,4,1,131072,1,4538.8,5.11,24.7,1.6,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_128k::c4,concurrency,tp4_closedloop_128k,c4,4,1,131072,4,10596.0,64.37,27.2,6.5,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_128k::c8,concurrency,tp4_closedloop_128k,c8,4,1,131072,8,12722.5,186.98,28.0,13.1,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_128k::c16,concurrency,tp4_closedloop_128k,c16,4,1,131072,16,37256.6,242.85,28.2,14.6,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_512k::c1,concurrency,tp4_closedloop_512k,c1,4,1,524288,1,32028.5,7.56,2.0,6.5,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_512k::c2,concurrency,tp4_closedloop_512k,c2,4,1,524288,2,40299.2,367.4,2.0,12.8,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_512k::c4,concurrency,tp4_closedloop_512k,c4,4,1,524288,4,87703.8,433.95,2.0,12.9,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_1m::c1,concurrency,tp4_closedloop_1m,c1,4,1,1000000,1,93460.4,10.2,0.3,12.3,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_1m::c2,concurrency,tp4_closedloop_1m,c2,4,1,1000000,2,150654.3,239.25,0.3,15.5,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_closedloop_1m::c4,concurrency,tp4_closedloop_1m,c4,4,1,1000000,4,231503.5,267.69,0.3,15.5,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,true,,,
tp4_512k_maxseq4::512k_c4,scheduler_limits,tp4_512k_maxseq4,512k_c4,4,1,524288,4,88007.1,433.81,2.0,12.9,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_512k_maxseq8::512k_c4,scheduler_limits,tp4_512k_maxseq8,512k_c4,4,1,524288,4,87994.3,433.76,2.0,12.9,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_512k_maxseq16::512k_c4,scheduler_limits,tp4_512k_maxseq16,512k_c4,4,1,524288,4,87974.9,433.77,2.0,12.9,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_prefix128k::prefix128k,prefix_cache,tp4_prefix128k,prefix128k,4,1,131328,1,910.7,5.31,80.7,1.9,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_prefix512k::prefix512k,prefix_cache,tp4_prefix512k,prefix512k,4,1,524544,1,16894.4,7.65,3.7,7.7,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_observer_minimal::8k_c8,observer_overhead,tp4_observer_minimal,8k_c8,4,1,8192,8,955.9,10.8,551.2,1.0,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_observer_minimal::128k_c4,observer_overhead,tp4_observer_minimal,128k_c4,4,1,131072,4,10289.9,66.77,27.2,6.5,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_observer_full::8k_c8,observer_overhead,tp4_observer_full,8k_c8,4,1,8192,8,954.0,10.7,555.4,1.0,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
tp4_observer_full::128k_c4,observer_overhead,tp4_observer_full,128k_c4,4,1,131072,4,10855.0,62.56,27.2,6.5,COMPLETED,CURRENT_UI_VALUE_PENDING_RAW_REVALIDATION,MEASURED-48B,false,,,
