-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.189s       149.94%        1.189s     121.577us          9779  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     627.088ms        79.08%     627.088ms     627.088ms             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     261.571ms        32.99%     261.571ms      37.155us          7040  
                                       vllm::all_reduce         0.00%     217.080us         0.09%       4.366ms      79.374us     125.784ms        15.86%     125.784ms       2.287ms            55  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     120.178ms        15.16%     120.178ms      18.056us          6656  
                                     _fwd_kernel_stage2         0.00%       0.000us         0.00%       0.000us       0.000us      72.890ms         9.19%      72.890ms      81.991us           889  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      64.844ms         8.18%      64.844ms      10.420us          6223  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      55.691ms         7.02%      55.691ms       6.448us          8637  
                                               aten::mm         0.10%       4.664ms         0.15%       7.418ms      22.077us      36.332ms         4.58%      36.332ms     108.132us           336  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      35.746ms         4.51%      35.746ms       4.265us          8382  
                               vllm::moe_forward_shared         0.00%     118.850us         8.91%     431.210ms      16.585ms      33.267ms         4.20%      45.032ms       1.732ms            26  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      23.287ms         2.94%      23.287ms       3.460us          6731  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      17.947ms         2.26%      17.947ms       2.646us          6784  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      14.076ms         1.78%      14.076ms     109.967us           128  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.732ms         1.61%      12.732ms       3.856us          3302  
                             _fwd_grouped_kernel_stage1         0.00%       0.000us         0.00%       0.000us       0.000us      11.687ms         1.47%      11.687ms      13.147us           889  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      11.148ms         1.41%      11.148ms       3.350us          3328  
