-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.187s       151.73%        1.187s     121.431us          9779  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     627.326ms        80.16%     627.326ms     627.326ms             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     251.529ms        32.14%     251.529ms      35.729us          7040  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     120.037ms        15.34%     120.037ms      18.034us          6656  
                                       vllm::all_reduce         0.00%     217.000us         0.09%       4.368ms      79.412us     119.224ms        15.23%     119.224ms       2.168ms            55  
                                     _fwd_kernel_stage2         0.00%       0.000us         0.00%       0.000us       0.000us      72.726ms         9.29%      72.726ms      81.806us           889  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      64.763ms         8.28%      64.763ms      10.407us          6223  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      55.473ms         7.09%      55.473ms       6.423us          8637  
                                               aten::mm         0.10%       4.968ms         0.16%       7.649ms      22.766us      36.216ms         4.63%      36.216ms     107.785us           336  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      35.856ms         4.58%      35.856ms       4.278us          8382  
                               vllm::moe_forward_shared         0.00%     117.430us         9.02%     435.438ms      16.748ms      33.162ms         4.24%      45.132ms       1.736ms            26  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      22.979ms         2.94%      22.979ms       3.414us          6731  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      17.998ms         2.30%      17.998ms       2.653us          6784  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      13.958ms         1.78%      13.958ms     109.049us           128  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.733ms         1.63%      12.733ms       3.856us          3302  
                             _fwd_grouped_kernel_stage1         0.00%       0.000us         0.00%       0.000us       0.000us      11.687ms         1.49%      11.687ms      13.146us           889  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      11.094ms         1.42%      11.094ms       3.334us          3328  
