
NOTICE: Existing SQLite export found: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/prefill_128k/node0_capture/worker_process_1162022.sqlite
        It is assumed file was previously exported from: /home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/prefill_128k/node0_capture/worker_process_1162022.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ayu23/v8_full_results/20260921_195656/profiles_multi_node_native/tp4_pp4_dist/prefill_128k/node0_capture/worker_process_1162022.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.5,1240763730,5680,218444.3,69325.0,1720,83208340,3323341.4,cudaMemcpyAsync
29.1,913446430,40,22836160.8,85000.0,32620,668652973,107097056.8,cuModuleLoadData
5.5,174017548,3109,55972.2,3440.0,2360,124730398,2258729.5,cudaLaunchKernel
5.0,157650338,4836,32599.3,19140.0,3180,54346059,782411.0,cudaStreamSynchronize
4.2,131472308,24,5478012.8,4252690.0,895910,14107690,3808586.3,cuMemExportToShareableHandle
4.0,125776696,116,1084281.9,529450.0,57700,6951670,1355272.9,cuMemSetAccess
2.2,70123859,34,2062466.4,1781875.0,68780,6315330,1582644.4,cuLibraryLoadData
1.8,57363169,96,597533.0,279425.0,3060,5455470,1008572.4,cudaMalloc
1.4,43940510,24,1830854.6,831625.0,98870,14651090,3119081.3,cuMemImportFromShareableHandle
1.4,43879519,128,342808.7,1390.0,890,4871920,791995.2,cudaStreamCreateWithPriority
1.3,41891830,218,192164.4,3285.0,1790,8770160,977925.4,cudaHostAlloc
1.0,29949340,78,383965.9,107735.0,12040,3664090,614498.3,cuMemCreate
0.9,28449740,2,14224870.0,14224870.0,17640,28432100,20092057.3,cudaDeviceSynchronize
0.8,24428180,1103,22147.0,360.0,210,16182680,511104.3,cuKernelGetFunction
0.5,16335470,2590,6307.1,3235.0,2350,4086440,91420.9,cuLaunchKernelEx
0.3,9711660,100,97116.6,39385.0,1800,1068630,192082.9,cuMemMap
0.2,7046300,265,26589.8,5180.0,3000,3088740,221794.3,cudaLaunchKernelExC_v11060
0.1,4483800,30,149460.0,133480.0,1860,788800,149024.7,cudaFree
0.1,3842640,1103,3483.8,3100.0,2400,50370,2569.8,cuLaunchKernel
0.1,3095239,2654,1166.3,630.0,350,18680,1487.5,cudaEventQuery
0.1,2659750,6282,423.4,350.0,160,255160,3248.5,cudaStreamIsCapturing_v10000
0.1,1600090,106,15095.2,240.0,80,450790,68463.7,cuMemGetAllocationGranularity
0.0,1494550,1287,1161.3,890.0,390,16970,955.6,cudaStreamWaitEvent
0.0,1480960,1161,1275.6,620.0,320,31030,1562.8,cudaEventRecord
0.0,1117000,2,558500.0,558500.0,175720,941280,541332.7,cuMemRelease
0.0,1031180,16,64448.8,7670.0,2240,456050,130502.5,cudaStreamCreateWithFlags
0.0,824990,2318,355.9,290.0,70,18810,497.4,cuGetProcAddress_v2
0.0,751650,580,1295.9,180.0,130,294730,16331.6,cudaThreadExchangeStreamCaptureMode_v10010
0.0,740550,90,8228.3,5390.0,1620,50670,11039.9,cudaMemsetAsync
0.0,657310,1073,612.6,380.0,160,21530,1155.6,cudaStreamGetCaptureInfo_v12030
0.0,588630,3109,189.3,140.0,80,18650,364.1,cuKernelGetName
0.0,548030,5,109606.0,65670.0,51770,222180,72448.3,cudaMemPoolCreate_v11020
0.0,537280,648,829.1,675.0,330,8760,692.0,cudaEventRecordWithFlags_v11010
0.0,475060,501,948.2,780.0,300,20850,1162.5,cudaGetFuncBySymbol_v11000
0.0,459400,100,4594.0,2795.0,540,53880,7174.7,cuMemAddressReserve
0.0,190640,205,930.0,470.0,190,18430,1667.6,cudaEventCreateWithFlags
0.0,149700,71,2108.5,1610.0,440,9110,1688.7,cuLibraryGetKernel
0.0,100300,3,33433.3,19610.0,19550,61140,23994.7,cudaMemGetInfo
0.0,99130,100,991.3,635.0,230,12760,1467.8,cudaEventDestroy
0.0,44240,93,475.7,180.0,140,12890,1350.1,cudaGetDriverEntryPointByVersion_v12050
0.0,28000,4,7000.0,6990.0,4340,9680,2981.0,cudaStreamDestroy
0.0,24120,1,24120.0,24120.0,24120,24120,0.0,cudaProfilerStart
0.0,15550,22,706.8,320.0,80,3650,892.1,cudaGetDeviceProperties_v12000
0.0,15210,5,3042.0,300.0,110,13920,6084.3,cuModuleGetLoadingMode
0.0,11400,5,2280.0,2310.0,2020,2430,156.0,cudaMemPoolSetAttribute_v11020
0.0,10520,7,1502.9,1510.0,530,3060,930.8,cuInit

